Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
32058458301,"NIGHT OWL, INC.",8315 BURNET RD STE D,AUSTIN,TX,78757,227,1,NIGHT OWL BAR,8315 BURNET RD STE D,AUSTIN,TX,78757,227,Y,MB962711,10/28/2016,,03/31/2019,21128,1002,9316,0,31446
32038126929,"2STC, LLC",107 W 5TH ST,AUSTIN,TX,78701,227,1,RONALD CHENG'S CHINATOWN DOWNTOWN,109 W 5TH ST,AUSTIN,TX,78701,227,Y,MB714347,02/10/2009,,03/31/2019,9320,4913,5745,0,19978
32063848603,SOTO GROUP LLC,10209 TENAVA CT,AUSTIN,TX,78726,227,1,SOTO,1100 S LAMAR BLVD STE 2115,AUSTIN,TX,78704,227,Y,MB998908,10/30/2017,,03/31/2019,11054,30653,3506,0,45213
32064617106,"UPSTAIRS CIRCUS ATX, LLC",3408 BLAKE ST,DENVER,CO,80205,0,1,UPSTAIRS CIRCUS ATX,234 W 2ND ST,AUSTIN,TX,78701,227,Y,MB1011228,03/29/2018,,03/31/2019,10503,3685,1253,0,15441
32046959147,"4400 RESTAURANT, INC.",3435 56TH ST S STE 100,FARGO,ND,58104,0,2,THE HOLIDAY INN MIDTOWN AUSTIN,6000 MIDDLE FISKVILLE RD,AUSTIN,TX,78752,227,Y,MB804382,04/19/2012,,03/31/2019,5902,1537,3456,0,10895
32064219408,290 WEST CLUB LLC,10700 LITTLE THICKET RD,AUSTIN,TX,78736,227,1,290 WEST CLUB,12013 W HIGHWAY 290 UNIT 1,AUSTIN,TX,78737,227,N,MB539207,11/06/2018,,03/31/2019,16090,702,13327,0,30119
32056234928,"TEXAS HILLS CULINARY GROUP, L.L.C.",12524 VERANDAH CT,AUSTIN,TX,78726,227,1,OAST HOUSE,8300 N FM 620 RD BLDG E,AUSTIN,TX,78726,227,Y,MB925265,10/29/2015,,03/31/2019,41447,21720,14905,0,78072
32041569834,"BEAR FLAG, LLC",1704 E 5TH ST STE 100,AUSTIN,TX,78702,227,1,YELLOW JACKET SOCIAL CLUB,1704 E 5TH ST STE 100,AUSTIN,TX,78702,227,Y,MB749924,06/09/2010,,03/31/2019,86774,5799,87228,0,179801
32044378431,"AUSTIN CAKE BALL AT THE DOMAIN, LLC",5310 BURNET RD STE 107,AUSTIN,TX,78756,227,1,COPPER RESTAURANT AND DESSERT LOUNGE,3401 ESPERANZA XING STE 104,AUSTIN,TX,78758,227,Y,MB788863,10/28/2011,,03/31/2019,14062,12951,1633,0,28646
32066325310,RAMEN TATSU-YA COMAL LLC,1907 W 38TH ST # A,AUSTIN,TX,78731,227,1,RAMEN TATSU-YA COMAL,1600 E 6TH ST,AUSTIN,TX,78702,227,Y,MB1017687,06/07/2018,,03/31/2019,54815,45758,26987,0,127560
32066032080,LONG AND LOW LLC,5104 RAVENSDALE LN,AUSTIN,TX,78723,227,1,FRAZIER'S,2538 ELMONT DR # A,AUSTIN,TX,78741,227,Y,MB1018857,06/14/2018,,03/31/2019,38819,1015,38740,0,78574
17416117426,"TARRY HOUSE, INC.",3006 BOWMAN AVE,AUSTIN,TX,78703,227,1,TARRY HOUSE,3006 BOWMAN AVE,AUSTIN,TX,78703,227,Y,N 055879,12/01/1993,,03/31/2019,12443,21016,365,0,33824
17425277682,ZIGGFELDS ENTERTAINMENT INC.,501 E BEN WHITE BLVD,AUSTIN,TX,78704,227,1,EXPOSE',3615 S CONGRESS AVE,AUSTIN,TX,78704,227,Y,MB201121,12/01/1993,03/19/2019,03/31/2019,31641,1507,14430,0,47578
32037557637,"THE MAGINS, LLC",714 RED RIVER ST,AUSTIN,TX,78701,227,1,BETTER DAYS,714 RED RIVER ST,AUSTIN,TX,78701,227,Y,MB711283,12/29/2008,,03/31/2019,14895,38,11162,0,26095
32044468489,ASAZU LIMITED LIABILITY COMPANY,1023 SPRINGDALE RD BLDG 1C,AUSTIN,TX,78721,227,2,KOME: SUSKI KITCHEN,5301 AIRPORT BLVD STE 100,AUSTIN,TX,78751,227,Y,MB998287,10/24/2017,,03/31/2019,33760,11973,34898,0,80631
32055985694,"OF RIGOR, LLC",PO BOX 684867,AUSTIN,TX,78768,227,1,THE ROOSEVELT ROOM & THE ELEANOR,307 W 5TH ST # 307B,AUSTIN,TX,78701,227,Y,MB911490,06/17/2015,,03/31/2019,214007,18848,5790,0,238645
32017486815,"TEXAS HILLS INVESTMENTS, L.L.C.",5900 W SLAUGHTER LN,AUSTIN,TX,78749,227,3,DISTRICT,5900 W SLAUGHTER LN STE 500,AUSTIN,TX,78749,227,Y,MB850000,08/26/2013,,03/31/2019,47228,31446,9929,0,88603
32054630861,EL LEON'S EAST LLC,1910 E CESAR CHAVEZ ST,AUSTIN,TX,78702,227,1,STAY GOLD,1910 E CESAR CHAVEZ ST,AUSTIN,TX,78702,227,Y,MB895499,01/16/2015,,03/31/2019,71528,2346,46043,0,119917
17423861180,"ET & GJ, INC.",4631 AIRPORT BLVD STE 121,AUSTIN,TX,78751,227,1,THE GRAND BILLIARDS,4631 AIRPORT BLVD,AUSTIN,TX,78751,227,Y,MB184068,12/01/1993,,03/31/2019,53537,927,41749,0,96213
