CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"094902109","BARBARA JORDAN INT"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","06","05","05 - 06","M"
"094902110","WATTS EL"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","04","EE","EE - 04","E"
"094902111","NORMA J PASCHAL EL"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","04","EE","EE - 04","E"
"094902112","GREEN VALLEY EL"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","04","EE","EE - 04","E"
"094902113","JOHN A SIPPEL EL"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","04","EE","EE - 04","E"
"094902114","ELAINE S SCHLATHER INT"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","06","05","05 - 06","M"
"094902115","CIBOLO VALLEY EL"," ","N","N","N","N","N","N","N","N","M"," ","SCHERTZ-CIBOLO-U CITY ISD","094902","04","EE","EE - 04","E"
"094903001","NAVARRO H S"," ","N","N","N","N","N","N","N","N","M"," ","NAVARRO ISD","094903","12","09","09 - 12","S"
"094903041","NAVARRO J H"," ","N","N","N","N","N","N","N","N","M"," ","NAVARRO ISD","094903","08","07","07 - 08","M"
"094903101","NAVARRO EL"," ","N","N","N","N","N","N","N","N","M"," ","NAVARRO ISD","094903","03","EE","EE - 03","E"
"094903102","NAVARRO INT"," ","N","N","N","N","N","N","N","N","M"," ","NAVARRO ISD","094903","06","04","04 - 06","E"
"094904001","MARION H S"," ","N","N","N","N","N","N","N","N","M"," ","MARION ISD","094904","12","09","09 - 12","S"
"094904041","MARION MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","MARION ISD","094904","08","06","06 - 08","M"
"094904101","NORMA KRUEGER EL"," ","N","N","N","N","N","N","N","N","M"," ","MARION ISD","094904","02","EE","EE - 02","E"
"094904102","NORMA KRUEGER EL/BERT KARRER CAMPU"," ","N","N","N","N","N","N","N","N","M"," ","MARION ISD","094904","05","03","03 - 05","E"
"095901001","ABERNATHY H S"," ","N","N","N","N","N","N","N","N","M"," ","ABERNATHY ISD","095901","12","09","09 - 12","S"
"095901003","ABERNATHY DAEP"," ","N","N","N","Y","N","N","N","N","X"," ","ABERNATHY ISD","095901","08","07","07 - 08","M"
"095901041","ABERNATHY J H"," ","N","N","N","N","N","N","N","N","M"," ","ABERNATHY ISD","095901","08","06","06 - 08","M"
"095901101","ABERNATHY EL"," ","N","N","N","N","N","N","N","N","M"," ","ABERNATHY ISD","095901","05","EE","EE - 05","E"
"095902001","COTTON CENTER SCHOOL"," ","N","N","N","N","N","N","N","N","M"," ","COTTON CENTER ISD","095902","12","PK","PK - 12","B"
"095903001","HALE CENTER H S"," ","N","N","N","N","N","N","N","N","M"," ","HALE CENTER ISD","095903","12","09","09 - 12","S"
"095903102","AKIN EL"," ","N","N","N","N","N","N","N","N","M"," ","HALE CENTER ISD","095903","04","PK","PK - 04","E"
"095903103","CARR MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","HALE CENTER ISD","095903","08","05","05 - 08","M"
"095904001","PETERSBURG SCHOOL"," ","N","N","N","N","N","N","N","N","M"," ","PETERSBURG ISD","095904","12","PK","PK - 12","B"
"095905001","PLAINVIEW H S"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","12","09","09 - 12","S"
"095905002","ASH H S","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","A"," ","PLAINVIEW ISD","095905","12","09","09 - 12","S"
"095905004","HALE COUNTY JJAEP"," ","N","N","N","N","N","Y","N","N","X"," ","PLAINVIEW ISD","095905","10","09","09 - 10","S"
"095905043","CORONADO MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","08","06","06 - 08","M"
"095905044","ESTACADO MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","08","06","06 - 08","M"
"095905102","COLLEGE HILL EL"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","05","PK","PK - 05","E"
"095905103","EDGEMERE EL"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","05","PK","PK - 05","E"
"095905105","HIGHLAND EL"," ","N","N","N","N","N","N","N","N","M"," ","PLAINVIEW ISD","095905","05","PK","PK - 05","E"
