CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,C_RATING,C_UPDATE,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"061902047","ARBOR CREEK MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902048","FORESTWOOD MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902049","BRIARHILL MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902050","DELAY MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902052","HUFFINES MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902053","MCKAMY MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902054","CREEK VALLEY MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902055","CLAYTON DOWNING MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902056","MARSHALL DURHAM MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902058","SHADOW RIDGE MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902059","KILLIAN MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","08","06","06 - 08","M"
"061902101","CENTRAL EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","PK","PK - 05","E"
"061902102","COLLEGE ST EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902104","LAKELAND EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902105","HEDRICK EL"," ","N","N","N","N","N","N","N","N","I"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902106","DEGAN EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902107","CAMEY EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902108","TIMBER CREEK EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902109","PETERS COLONY EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","PK","PK - 05","E"
"061902110","HIGHLAND VILLAGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902111","STEWARTS CREEK EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902112","FLOWER MOUND EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902113","INDIAN CREEK EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902114","MCAULIFFE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","PK","PK - 05","E"
"061902115","B B OWEN EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902116","CREEKSIDE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902117","DONALD EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902118","HEBRON VALLEY EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902119","ETHRIDGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902120","GARDEN RIDGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902121","MORNINGSIDE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902122","HERITAGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902123","OLD SETTLERS EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902124","PARKWAY EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902125","POLSER EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902126","PRAIRIE TRAIL ELEMENTARY"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902127","VALLEY RIDGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902128","FOREST VISTA EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902129","BRIDLEWOOD EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902130","WELLINGTON EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902131","SOUTHRIDGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902132","HOMESTEAD EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902133","BLUEBONNET EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902134","TOM HICKS EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902135","LIBERTY EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902136","CASTLE HILLS EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902138","MARJORY VICKERY EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061902139","ROCKBROOK EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902140","COYOTE RIDGE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","PK","PK - 05","E"
"061902141","LILLIE J JACKSON EARLY CHILDHOOD C"," ","N","N","N","N","Y","N","N","N","M"," ","LEWISVILLE ISD","061902","PK","EE","EE - PK","E"
"061902142","INDEPENDENCE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","EE","EE - 05","E"
"061902143","LEWISVILLE EL"," ","N","N","N","N","N","N","N","N","M"," ","LEWISVILLE ISD","061902","05","KG","KG - 05","E"
"061903001","PILOT POINT H S"," ","N","N","N","N","N","N","N","N","M"," ","PILOT POINT ISD","061903","12","09","09 - 12","S"
"061903002","DENTON CO J J A E P"," ","N","N","N","N","N","Y","Y","N","X"," ","PILOT POINT ISD","061903","09","09","09 - 09","S"
"061903041","PILOT POINT SELZ MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","PILOT POINT ISD","061903","08","07","07 - 08","M"
"061903101","PILOT POINT EL"," ","N","N","N","N","N","N","N","N","M"," ","PILOT POINT ISD","061903","02","EE","EE - 02","E"
"061903102","PILOT POINT INT"," ","N","N","N","N","N","N","N","N","M"," ","PILOT POINT ISD","061903","06","03","03 - 06","E"
"061905001","KRUM H S"," ","N","N","N","N","N","N","N","N","M"," ","KRUM ISD","061905","12","09","09 - 12","S"
"061905002","DENTON CO J J A E P"," ","N","N","N","N","N","Y","Y","N","X"," ","KRUM ISD","061905","11","09","09 - 11","S"
"061905041","KRUM MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","KRUM ISD","061905","08","06","06 - 08","M"
"061905101","DYER EL"," ","N","N","N","N","N","N","N","N","M"," ","KRUM ISD","061905","03","02","02 - 03","E"
"061905102","BLANCHE DODD INT"," ","N","N","N","N","N","N","N","N","M"," ","KRUM ISD","061905","05","04","04 - 05","E"
"061905103","KRUM EARLY EDUCATION CENTER"," ","N","N","N","N","N","N","N","N","M"," ","KRUM ISD","061905","01","EE","EE - 01","E"
"061906001","PONDER H S"," ","N","N","N","N","N","N","N","N","M"," ","PONDER ISD","061906","12","09","09 - 12","S"
"061906041","PONDER J H"," ","N","N","N","N","N","N","N","N","M"," ","PONDER ISD","061906","08","06","06 - 08","M"
"061906101","PONDER EL"," ","N","N","N","N","N","N","N","N","M"," ","PONDER ISD","061906","05","EE","EE - 05","E"
"061907001","AUBREY H S"," ","N","N","N","N","N","N","N","N","M"," ","AUBREY ISD","061907","12","09","09 - 12","S"
"061907002","DENTON CO J J A E P"," ","N","N","N","N","N","Y","Y","N","X"," ","AUBREY ISD","061907","11","11","11 - 11","S"
"061907041","AUBREY MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","AUBREY ISD","061907","08","05","05 - 08","M"
"061907101","HL BROCKETT"," ","N","N","N","N","N","N","N","N","M"," ","AUBREY ISD","061907","04","KG","KG - 04","E"
"061907102","JAMES A MONACO"," ","N","N","N","N","N","N","N","N","M"," ","AUBREY ISD","061907","04","EE","EE - 04","E"
"061908001","SANGER H S"," ","N","N","N","N","N","N","N","N","M"," ","SANGER ISD","061908","12","09","09 - 12","S"
"061908002","DENTON CO J J A E P"," ","N","N","N","N","N","Y","N","N","X"," ","SANGER ISD","061908","06","06","06 - 06","M"
"061908003","LINDA TUTT H S","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","A"," ","SANGER ISD","061908","12","09","09 - 12","S"
"061908041","SANGER MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","SANGER ISD","061908","08","07","07 - 08","M"
"061908101","CLEAR CREEK INT"," ","N","N","N","N","N","N","N","N","M"," ","SANGER ISD","061908","05","03","03 - 05","E"
"061908102","CHISHOLM TRAIL EL"," ","N","N","N","N","N","N","N","N","M"," ","SANGER ISD","061908","02","KG","KG - 02","E"
"061908104","BUTTERFIELD EL"," ","N","N","N","N","N","N","N","N","M"," ","SANGER ISD","061908","05","EE","EE - 05","E"
"061908105","SANGER SIXTH GRADE CAMPUS"," ","N","N","N","N","N","N","N","N","M"," ","SANGER ISD","061908","06","06","06 - 06","M"
"061910001","ARGYLE H S"," ","N","N","N","N","N","N","N","N","M"," ","ARGYLE ISD","061910","12","09","09 - 12","S"
"061910041","ARGYLE MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","ARGYLE ISD","061910","08","06","06 - 08","M"
"061910042","ARGYLE INT"," ","N","N","N","N","N","N","N","N","M"," ","ARGYLE ISD","061910","05","04","04 - 05","E"
"061910101","HILLTOP EL"," ","N","N","N","N","N","N","N","N","M"," ","ARGYLE ISD","061910","03","EE","EE - 03","E"
"061911001","NORTHWEST H S"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","12","09","09 - 12","S"
"061911003","DENTON CREEK","RESIDENTIAL FACILITY","N","Y","N","N","N","N","N","Y","X"," ","NORTHWEST ISD","061911","12","09","09 - 12","S"
"061911005","DENTON CO J J A E P"," ","N","N","N","N","N","Y","Y","N","X"," ","NORTHWEST ISD","061911","12","11","11 - 12","S"
"061911007","BYRON NELSON H S"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","12","09","09 - 12","S"
"061911010","JAMES M STEELE H S"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","12","09","09 - 12","S"
"061911011","V R EATON H S"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","12","09","09 - 12","S"
"061911042","MEDLIN MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","08","06","06 - 08","M"
"061911043","GENE PIKE MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","08","06","06 - 08","M"
"061911044","CHISHOLM TRAIL MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","08","06","06 - 08","M"
"061911045","JOHN M TIDWELL MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","08","06","06 - 08","M"
"061911046","TRUETT WILSON MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","08","06","06 - 08","M"
"061911101","HASLET EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911102","JUSTIN EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","PK","PK - 05","E"
"061911106","LAKEVIEW EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911107","ROANOKE EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","EE","EE - 05","E"
"061911108","SEVEN HILLS EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","EE","EE - 05","E"
"061911109","SAMUEL BECK EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911110","W R HATFIELD EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911111","PRAIRIE VIEW EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","PK","PK - 05","E"
"061911112","SONNY & ALLEGRA NANCE EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","PK","PK - 05","E"
"061911113","J LYNDAL HUGHES EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","EE","EE - 05","E"
"061911114","KAY GRANGER EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911115","SENDERA RANCH EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911116","O A PETERSON"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","EE","EE - 05","E"
"061911117","CLARA LOVE EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","PK","PK - 05","E"
"061911118","J C THOMPSON EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","EE","EE - 05","E"
"061911119","CARL E SCHLUTER EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061911120","WAYNE A COX EL"," ","N","N","N","N","N","N","N","N","M"," ","NORTHWEST ISD","061911","05","KG","KG - 05","E"
"061912001","LAKE DALLAS H S"," ","N","N","N","N","N","N","N","N","M"," ","LAKE DALLAS ISD","061912","12","09","09 - 12","S"
"061912041","LAKE DALLAS MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LAKE DALLAS ISD","061912","08","06","06 - 08","M"
"061912101","LAKE DALLAS EL"," ","N","N","N","N","N","N","N","N","M"," ","LAKE DALLAS ISD","061912","05","EE","EE - 05","E"
"061912103","CORINTH EL"," ","N","N","N","N","N","N","N","N","M"," ","LAKE DALLAS ISD","061912","05","KG","KG - 05","E"
"061912105","SHADY SHORES EL"," ","N","N","N","N","N","N","N","N","M"," ","LAKE DALLAS ISD","061912","05","EE","EE - 05","E"
"061914001","LITTLE ELM H S"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","12","09","09 - 12","S"
"061914002","DENTON CO J J A E P"," ","N","N","N","N","N","Y","N","N","X"," ","LITTLE ELM ISD","061914","11","06","06 - 11","B"
"061914041","LAKESIDE MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","08","06","06 - 08","M"
"061914042","PRESTWICK K-8 STEM ACADEMY"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","08","KG","KG - 08","E"
"061914103","D H BRENT EL"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","05","PK","PK - 05","E"
"061914104","CESAR CHAVEZ EL"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","05","EE","EE - 05","E"
"061914105","HACKBERRY EL"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","05","PK","PK - 05","E"
"061914107","LAKEVIEW EL"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","05","KG","KG - 05","E"
"061914108","OAK POINT EL"," ","N","N","N","N","N","N","N","N","M"," ","LITTLE ELM ISD","061914","05","EE","EE - 05","E"
"062901001","CUERO H S"," ","N","N","N","N","N","N","N","N","M"," ","CUERO ISD","062901","12","09","09 - 12","S"
"062901041","CUERO J H"," ","N","N","N","N","N","N","N","N","M"," ","CUERO ISD","062901","08","06","06 - 08","M"
"062901042","CUERO INT"," ","N","N","N","N","N","N","N","N","M"," ","CUERO ISD","062901","05","04","04 - 05","E"
"062901102","HUNT EL"," ","N","N","N","N","N","N","N","N","M"," ","CUERO ISD","062901","03","01","01 - 03","E"
"062901104","FRENCH EL"," ","N","N","N","N","Y","N","N","N","M"," ","CUERO ISD","062901","KG","EE","EE - KG","E"
"062902001","NORDHEIM SCHOOL"," ","N","N","N","N","N","N","N","N","I"," ","NORDHEIM ISD","062902","12","PK","PK - 12","B"
"062903001","YOAKUM H S"," ","N","N","N","N","N","N","N","N","M"," ","YOAKUM ISD","062903","12","09","09 - 12","S"
"062903041","YOAKUM J H"," ","N","N","N","N","N","N","N","N","M"," ","YOAKUM ISD","062903","08","06","06 - 08","M"
"062903102","YOAKUM INT"," ","N","N","N","N","N","N","N","N","M"," ","YOAKUM ISD","062903","05","03","03 - 05","E"
"062903103","YOAKUM PRI"," ","N","N","N","N","N","N","N","N","M"," ","YOAKUM ISD","062903","02","EE","EE - 02","E"
"062904001","YORKTOWN H S"," ","N","N","N","N","N","N","N","N","M"," ","YORKTOWN ISD","062904","12","09","09 - 12","S"
"062904041","YORKTOWN J H"," ","N","N","N","N","N","N","N","N","M"," ","YORKTOWN ISD","062904","08","06","06 - 08","M"
"062904102","YORKTOWN EL"," ","N","N","N","N","N","N","N","N","M"," ","YORKTOWN ISD","062904","05","PK","PK - 05","E"
"062905101","WESTHOFF EL"," ","N","N","N","N","N","N","N","N","M"," ","WESTHOFF ISD","062905","08","PK","PK - 08","E"
"062906101","MEYERSVILLE EL"," ","N","N","N","N","N","N","N","N","M"," ","MEYERSVILLE ISD","062906","08","PK","PK - 08","E"
"063903001","SPUR SCHOOL"," ","N","N","N","N","N","N","N","N","M"," ","SPUR ISD","063903","12","PK","PK - 12","B"
"063906001","PATTON SPRINGS SCHOOL"," ","N","N","N","N","N","N","N","N","M"," ","PATTON SPRINGS ISD","063906","12","PK","PK - 12","B"
"064903001","CARRIZO SPRINGS H S"," ","N","N","N","N","N","N","N","N","M"," ","CARRIZO SPRINGS CISD","064903","12","09","09 - 12","S"
"064903041","CARRIZO SPRINGS J H"," ","N","N","N","N","N","N","N","N","M"," ","CARRIZO SPRINGS CISD","064903","08","07","07 - 08","M"
"064903102","CARRIZO SPRINGS EL"," ","N","N","N","N","N","N","N","N","M"," ","CARRIZO SPRINGS CISD","064903","03","PK","PK - 03","E"
"064903103","CARRIZO SPRINGS INT"," ","N","N","N","N","N","N","N","N","M"," ","CARRIZO SPRINGS CISD","064903","06","04","04 - 06","E"
"065901001","CLARENDON H S"," ","N","N","N","N","N","N","N","N","M"," ","CLARENDON ISD","065901","12","09","09 - 12","S"
"065901041","CLARENDON J H"," ","N","N","N","N","N","N","N","N","M"," ","CLARENDON ISD","065901","08","06","06 - 08","M"
"065901101","CLARENDON EL"," ","N","N","N","N","N","N","N","N","M"," ","CLARENDON ISD","065901","05","EE","EE - 05","E"
"065902001","HEDLEY SCHOOL"," ","N","N","N","N","N","N","N","N","M"," ","HEDLEY ISD","065902","12","PK","PK - 12","B"
"066005101","RAMIREZ EL"," ","N","N","N","N","N","N","N","N","M"," ","RAMIREZ CSD","066005","06","PK","PK - 06","E"
"066901001","BENAVIDES SECONDARY"," ","N","N","N","N","N","N","N","N","M"," ","BENAVIDES ISD","066901","12","07","07 - 12","S"
"066901041","BENAVIDES EL"," ","N","N","N","N","N","N","N","N","M"," ","BENAVIDES ISD","066901","06","PK","PK - 06","E"
"066902001","SAN DIEGO H S"," ","N","N","N","N","N","N","N","N","M"," ","SAN DIEGO ISD","066902","12","09","09 - 12","S"
"066902041","BERNARDA JAIME J H"," ","N","N","N","N","N","N","N","N","M"," ","SAN DIEGO ISD","066902","08","06","06 - 08","M"
"066902101","COLLINS-PARR EL"," ","N","N","N","N","N","N","N","N","M"," ","SAN DIEGO ISD","066902","05","PK","PK - 05","E"
"066903002","FREER H S"," ","N","N","N","N","N","N","N","N","M"," ","FREER ISD","066903","12","09","09 - 12","S"
"066903042","FREER J H"," ","N","N","N","N","N","N","N","N","M"," ","FREER ISD","066903","08","06","06 - 08","M"
"066903102","NORMAN M THOMAS EL"," ","N","N","N","N","N","N","N","N","M"," ","FREER ISD","066903","05","PK","PK - 05","E"
"067902001","CISCO H S"," ","N","N","N","N","N","N","N","N","M"," ","CISCO ISD","067902","12","09","09 - 12","S"
"067902004","CISCO LEARNING CENTER","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","Z"," ","CISCO ISD","067902","12","10","10 - 12","S"
"067902041","CISCO J H"," ","N","N","N","N","N","N","N","N","M"," ","CISCO ISD","067902","08","06","06 - 08","M"
"067902101","CISCO EL"," ","N","N","N","N","N","N","N","N","M"," ","CISCO ISD","067902","05","EE","EE - 05","E"
"067903001","EASTLAND H S"," ","N","N","N","N","N","N","N","N","M"," ","EASTLAND ISD","067903","12","09","09 - 12","S"
"067903041","EASTLAND MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","EASTLAND ISD","067903","08","06","06 - 08","M"
"067903101","SIEBERT EL"," ","N","N","N","N","N","N","N","N","M"," ","EASTLAND ISD","067903","05","EE","EE - 05","E"
"067904001","GORMAN H S"," ","N","N","N","N","N","N","N","N","M"," ","GORMAN ISD","067904","12","09","09 - 12","S"
"067904042","GORMAN MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","GORMAN ISD","067904","08","06","06 - 08","M"
"067904101","MAXFIELD EL"," ","N","N","N","N","N","N","N","N","M"," ","GORMAN ISD","067904","05","EE","EE - 05","E"
"067907001","RANGER H S"," ","N","N","N","N","N","N","N","N","M"," ","RANGER ISD","067907","12","09","09 - 12","S"
"067907041","RANGER MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","RANGER ISD","067907","08","06","06 - 08","M"
"067907101","RANGER EL"," ","N","N","N","N","N","N","N","N","M"," ","RANGER ISD","067907","05","PK","PK - 05","E"
"067908001","RISING STAR H S"," ","N","N","N","N","N","N","N","N","M"," ","RISING STAR ISD","067908","12","07","07 - 12","S"
"067908101","RISING STAR EL"," ","N","N","N","N","N","N","N","N","M"," ","RISING STAR ISD","067908","06","PK","PK - 06","E"
"068802001","COMPASS ACADEMY CHARTER SCHOOL"," ","N","N","Y","N","N","N","N","N","M"," ","COMPASS ACADEMY CHARTER SCHOOL","068802","07","KG","KG - 07","E"
"068803001","UTPB STEM ACADEMY"," ","N","N","Y","N","N","N","N","N","M"," ","UTPB STEM ACADEMY","068803","08","KG","KG - 08","E"
"068901002","ODESSA H S"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","12","09","09 - 12","S"
"068901003","PERMIAN H S"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","12","09","09 - 12","S"
"068901004","ALTER ED CTR"," ","N","N","N","Y","N","N","N","N","X"," ","ECTOR COUNTY ISD","068901","12","06","06 - 12","B"
"068901005","ECTOR CO YOUTH CTR","RESIDENTIAL FACILITY","N","Y","N","N","N","N","N","Y","X"," ","ECTOR COUNTY ISD","068901","11","06","06 - 11","B"
"068901011","GEORGE H W BUSH NEW TECH ODESSA"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","12","09","09 - 12","S"
"068901014","ODESSA CAREER AND TECHNICAL EARLY"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","10","09","09 - 10","S"
"068901015","ECISD FALCON EARLY COLLEGE H S"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","10","09","09 - 10","S"
"068901042","BONHAM MIDDLE"," ","N","N","N","N","N","N","N","N","I"," ","ECTOR COUNTY ISD","068901","08","06","06 - 08","M"
"068901043","BOWIE MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","08","06","06 - 08","M"
"068901044","CROCKETT MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","08","06","06 - 08","M"
"068901045","WILSON & YOUNG MEDAL OF HONOR MIDD"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","08","06","06 - 08","M"
"068901046","NIMITZ MIDDLE"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","08","06","06 - 08","M"
"068901047","ECTOR MIDDLE"," ","N","N","N","N","N","N","N","N","I"," ","ECTOR COUNTY ISD","068901","08","06","06 - 08","M"
"068901101","GALE POND ALAMO EL"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","PK","PK - 05","E"
"068901102","AUSTIN MONTESSORI MAGNET"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","PK","PK - 05","E"
"068901103","BURLESON EL"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","KG","KG - 05","E"
"068901104","BURNET EL"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","KG","KG - 05","E"
"068901105","CAMERON DUAL LANGUAGE MAGNET"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","PK","PK - 05","E"
"068901106","CARVER EARLY EE-KG"," ","N","N","N","N","Y","N","N","N","M"," ","ECTOR COUNTY ISD","068901","KG","EE","EE - KG","E"
"068901107","DOWLING EL"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","KG","KG - 05","E"
"068901110","GOLIAD EL"," ","N","N","N","N","N","N","N","N","I"," ","ECTOR COUNTY ISD","068901","05","KG","KG - 05","E"
"068901111","GONZALES EL"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","KG","KG - 05","E"
"068901112","EL MAGNET AT HAYS"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","PK","PK - 05","E"
"068901113","SAM HOUSTON EL"," ","N","N","N","N","N","N","N","N","M"," ","ECTOR COUNTY ISD","068901","05","KG","KG - 05","E"
