DISTNAME,CAMPNAME,District_ID,Campus_ID,REGION,CFLALTED,C_RATING,CI1,CI1_CUT,CI1_MET,CI2,CI2_CUT,CI2_MET,CI3,CI3_CUT,CI3_MET,CI4,CI4_CUT,CI4_MET
SPRING ISD,DELORAS E THOMPSON EL,101919,101919114,4,False,M,63,60,Y,40,32,Y,34,28,Y,38,12,Y
SPRING ISD,HERITAGE EL,101919,101919115,4,False,M,66,60,Y,50,32,Y,35,28,Y,25,12,Y
SPRING ISD,CLARK INT,101919,101919116,4,False,I,54,60,N,36,32,Y,27,28,N,21,12,Y
SPRING ISD,SALYERS EL,101919,101919117,4,False,M,53,60,N,32,32,Y,28,28,Y,23,12,Y
SPRING ISD,CHET BURCHETT EL,101919,101919119,4,False,M,73,60,Y,44,32,Y,41,28,Y,34,12,Y
SPRING ISD,MILTON COOPER EL,101919,101919120,4,False,M,85,60,Y,54,32,Y,49,28,Y,43,12,Y
SPRING ISD,GINGER MCNABB EL,101919,101919121,4,False,M,57,60,N,39,32,Y,31,28,Y,20,12,Y
SPRING ISD,NORTHGATE EL,101919,101919122,4,False,M,81,60,Y,51,32,Y,47,28,Y,51,12,Y
SPRING ISD,DONNA LEWIS EL,101919,101919123,4,False,M,66,60,Y,48,32,Y,39,28,Y,29,12,Y
SPRING ISD,CAROLEE BOOKER ELEMENTARY,101919,101919124,4,False,M,67,60,Y,53,32,Y,35,28,Y,31,12,Y
SPRING ISD,HOYLAND EL,101919,101919125,4,False,M,55,60,N,39,32,Y,29,28,Y,24,12,Y
SPRING ISD,RALPH EICKENROHT EL,101919,101919126,4,False,M,62,60,Y,42,32,Y,34,28,Y,27,12,Y
SPRING ISD,HELEN MAJOR EL,101919,101919127,4,False,M,55,60,N,40,32,Y,30,28,Y,22,12,Y
SPRING ISD,GLORIA MARSHALL EL,101919,101919128,4,False,M,64,60,Y,43,32,Y,36,28,Y,30,12,Y
SPRING ISD,CLARK PRI,101919,101919129,4,False,I,,,P,,,P,,,P,,,P
SPRING BRANCH ISD,MEMORIAL H S,101920,101920001,4,False,M,92,60,Y,32,17,Y,52,30,Y,91,60,Y
SPRING BRANCH ISD,SPRING WOODS H S,101920,101920003,4,False,M,69,60,Y,22,17,Y,43,30,Y,76,60,Y
SPRING BRANCH ISD,NORTHBROOK H S,101920,101920005,4,False,M,64,60,Y,22,17,Y,41,30,Y,69,60,Y
SPRING BRANCH ISD,STRATFORD H S,101920,101920006,4,False,M,84,60,Y,27,17,Y,46,30,Y,87,60,Y
SPRING BRANCH ISD,HARRIS CO J J A E P,101920,101920010,4,False,X,,60,X,,30,X,,26,X,,,X
SPRING BRANCH ISD,WESTCHESTER ACADEMY FOR INTERNATIO,101920,101920014,4,False,M,86,60,Y,39,17,Y,56,30,Y,93,60,Y
SPRING BRANCH ISD,ACADEMY OF CHOICE,101920,101920016,4,True,A,56,35,Y,21,8,Y,31,13,Y,53,33,Y
SPRING BRANCH ISD,SPRING BRANCH ACADEMIC INSTITUTE,101920,101920018,4,False,M,100,60,Y,70,32,Y,,28,Z,100,12,Y
SPRING BRANCH ISD,LANDRUM MIDDLE,101920,101920041,4,False,M,61,60,Y,36,30,Y,33,26,Y,24,13,Y
SPRING BRANCH ISD,MEMORIAL MIDDLE,101920,101920042,4,False,M,95,60,Y,47,30,Y,65,26,Y,79,13,Y
SPRING BRANCH ISD,SPRING BRANCH MIDDLE,101920,101920043,4,False,M,79,60,Y,43,30,Y,36,26,Y,58,13,Y
SPRING BRANCH ISD,SPRING WOODS MIDDLE,101920,101920044,4,False,I,46,60,N,28,30,N,23,26,N,20,13,Y
SPRING BRANCH ISD,SPRING FOREST MIDDLE,101920,101920045,4,False,M,77,60,Y,39,30,Y,37,26,Y,48,13,Y
SPRING BRANCH ISD,SPRING OAKS MIDDLE,101920,101920046,4,False,M,58,60,N,37,30,Y,28,26,Y,29,13,Y
SPRING BRANCH ISD,NORTHBROOK MIDDLE,101920,101920047,4,False,M,61,60,Y,37,30,Y,34,26,Y,31,13,Y
SPRING BRANCH ISD,CORNERSTONE ACADEMY,101920,101920048,4,False,M,98,60,Y,54,30,Y,65,26,Y,83,13,Y
SPRING BRANCH ISD,BENDWOOD SCHOOL,101920,101920101,4,False,Z,,60,Z,,32,Z,,28,Z,,,Z
SPRING BRANCH ISD,BUNKER HILL EL,101920,101920102,4,False,M,92,60,Y,57,32,Y,55,28,Y,71,12,Y
SPRING BRANCH ISD,EDGEWOOD EL,101920,101920103,4,False,M,70,60,Y,44,32,Y,42,28,Y,31,12,Y
SPRING BRANCH ISD,FROSTWOOD EL,101920,101920104,4,False,M,96,60,Y,61,32,Y,69,28,Y,81,12,Y
SPRING BRANCH ISD,HOLLIBROOK EL,101920,101920105,4,False,M,62,60,Y,40,32,Y,37,28,Y,33,12,Y
SPRING BRANCH ISD,HOUSMAN EL,101920,101920106,4,False,M,64,60,Y,40,32,Y,36,28,Y,29,12,Y
SPRING BRANCH ISD,HUNTERS CREEK EL,101920,101920107,4,False,M,88,60,Y,52,32,Y,59,28,Y,70,12,Y
SPRING BRANCH ISD,MEADOW WOOD EL,101920,101920108,4,False,M,75,60,Y,36,32,Y,35,28,Y,34,12,Y
SPRING BRANCH ISD,MEMORIAL DRIVE EL,101920,101920109,4,False,M,95,60,Y,65,32,Y,57,28,Y,73,12,Y
SPRING BRANCH ISD,PINE SHADOWS EL,101920,101920110,4,False,M,67,60,Y,38,32,Y,36,28,Y,38,12,Y
SPRING BRANCH ISD,RIDGECREST EL,101920,101920111,4,False,M,72,60,Y,45,32,Y,45,28,Y,42,12,Y
SPRING BRANCH ISD,RUMMEL CREEK EL,101920,101920112,4,False,M,96,60,Y,65,32,Y,65,28,Y,81,12,Y
SPRING BRANCH ISD,SHADOW OAKS EL,101920,101920113,4,False,M,57,60,N,36,32,Y,31,28,Y,24,12,Y
SPRING BRANCH ISD,SPRING BRANCH EL,101920,101920114,4,False,I,51,60,N,31,32,N,26,28,N,20,12,Y
SPRING BRANCH ISD,VALLEY OAKS EL,101920,101920115,4,False,M,83,60,Y,44,32,Y,32,28,Y,59,12,Y
SPRING BRANCH ISD,WESTWOOD EL,101920,101920116,4,False,I,56,60,N,29,32,N,31,28,Y,20,12,Y
SPRING BRANCH ISD,WOODVIEW EL,101920,101920117,4,False,I,49,60,N,33,32,Y,24,28,N,21,12,Y
SPRING BRANCH ISD,WILCHESTER EL,101920,101920118,4,False,M,97,60,Y,63,32,Y,74,28,Y,85,12,Y
SPRING BRANCH ISD,SHERWOOD EL,101920,101920119,4,False,M,63,60,Y,41,32,Y,31,28,Y,39,12,Y
SPRING BRANCH ISD,SPRING SHADOW EL,101920,101920120,4,False,M,59,60,N,35,32,Y,32,28,Y,21,12,Y
SPRING BRANCH ISD,NOTTINGHAM EL,101920,101920121,4,False,M,78,60,Y,44,32,Y,41,28,Y,48,12,Y
SPRING BRANCH ISD,TERRACE EL,101920,101920122,4,False,M,66,60,Y,40,32,Y,35,28,Y,37,12,Y
SPRING BRANCH ISD,THORNWOOD EL,101920,101920123,4,False,M,67,60,Y,47,32,Y,36,28,Y,34,12,Y
SPRING BRANCH ISD,CEDAR BROOK EL,101920,101920124,4,False,M,66,60,Y,43,32,Y,35,28,Y,43,12,Y
SPRING BRANCH ISD,TREASURE FOREST EL,101920,101920125,4,False,I,50,60,N,39,32,Y,27,28,N,16,12,Y
SPRING BRANCH ISD,BUFFALO CREEK EL,101920,101920126,4,False,M,70,60,Y,45,32,Y,43,28,Y,39,12,Y
SPRING BRANCH ISD,THE WILDCAT WAY SCHOOL,101920,101920128,4,False,M,,,P,,,P,,,P,,,P
SPRING BRANCH ISD,THE PANDA PATH SCHOOL,101920,101920129,4,False,M,,,P,,,P,,,P,,,P
SPRING BRANCH ISD,THE LION LANE SCHOOL,101920,101920130,4,False,M,,,P,,,P,,,P,,,P
SPRING BRANCH ISD,THE BEAR BLVD SCHOOL,101920,101920131,4,False,M,,,P,,,P,,,P,,,P
SPRING BRANCH ISD,THE TIGER TRAIL SCHOOL,101920,101920132,4,False,M,,,P,,,P,,,P,,,P
TOMBALL ISD,TOMBALL H S,101921,101921001,4,False,M,86,60,Y,34,17,Y,54,30,Y,81,60,Y
TOMBALL ISD,TOMBALL MEMORIAL H S,101921,101921002,4,False,M,93,60,Y,46,17,Y,62,30,Y,88,60,Y
TOMBALL ISD,TOMBALL J J A E P CAMPUS,101921,101921003,4,False,X,,60,X,,17,X,,30,X,,,X
TOMBALL ISD,TOMBALL J H,101921,101921042,4,False,M,83,60,Y,42,30,Y,40,26,Y,48,13,Y
TOMBALL ISD,WILLOW WOOD J H,101921,101921043,4,False,M,92,60,Y,44,30,Y,54,26,Y,72,13,Y
TOMBALL ISD,CREEKSIDE PARK J H,101921,101921044,4,False,M,96,60,Y,50,30,Y,53,26,Y,84,13,Y
TOMBALL ISD,DECKER PRAIRIE EL,101921,101921102,4,False,M,82,60,Y,47,32,Y,51,28,Y,45,12,Y
TOMBALL ISD,LAKEWOOD EL,101921,101921103,4,False,M,87,60,Y,47,32,Y,58,28,Y,66,12,Y
TOMBALL ISD,TOMBALL INT,101921,101921105,4,False,M,87,60,Y,43,30,Y,48,26,Y,51,13,Y
TOMBALL ISD,WILLOW CREEK EL,101921,101921107,4,False,M,87,60,Y,49,32,Y,55,28,Y,64,12,Y
TOMBALL ISD,TOMBALL EL,101921,101921108,4,False,M,73,60,Y,41,32,Y,41,28,Y,35,12,Y
TOMBALL ISD,NORTHPOINTE INT,101921,101921109,4,False,M,95,60,Y,50,30,Y,59,26,Y,68,13,Y
TOMBALL ISD,ROSEHILL EL,101921,101921110,4,False,M,85,60,Y,43,32,Y,49,28,Y,52,12,Y
TOMBALL ISD,CANYON POINTE EL,101921,101921111,4,False,M,94,60,Y,58,32,Y,66,28,Y,68,12,Y
TOMBALL ISD,CREEKSIDE FOREST EL,101921,101921112,4,False,M,98,60,Y,73,32,Y,78,28,Y,89,12,Y
TOMBALL ISD,TIMBER CREEK EL,101921,101921113,4,False,M,95,60,Y,59,32,Y,62,28,Y,79,12,Y
TOMBALL ISD,WILDWOOD EL,101921,101921114,4,False,M,91,60,Y,54,32,Y,58,28,Y,68,12,Y
TOMBALL ISD,CREEKVIEW EL,101921,101921115,4,False,M,91,60,Y,52,32,Y,60,28,Y,71,12,Y
TOMBALL ISD,OAKCREST INT,101921,101921116,4,False,M,95,60,Y,49,30,Y,58,26,Y,64,13,Y
SHELDON ISD,C E KING H S,101924,101924001,4,False,M,65,60,Y,18,17,Y,38,30,Y,70,60,Y
SHELDON ISD,KASE ACADEMY,101924,101924012,4,True,A,43,35,Y,10,8,Y,31,13,Y,98,33,Y
SHELDON ISD,HIGH POINT EAST,101924,101924014,4,False,X,,60,X,,17,X,,30,X,,,X
SHELDON ISD,C E KING MIDDLE,101924,101924041,4,False,M,62,60,Y,30,30,Y,32,26,Y,23,13,Y
SHELDON ISD,MICHAEL R NULL MIDDLE,101924,101924043,4,False,M,70,60,Y,37,30,Y,36,26,Y,30,13,Y
SHELDON ISD,ROYALWOOD EL,101924,101924102,4,False,M,74,60,Y,40,32,Y,44,28,Y,33,12,Y
SHELDON ISD,L E MONAHAN EL,101924,101924104,4,False,M,66,60,Y,40,32,Y,35,28,Y,29,12,Y
SHELDON ISD,STEPHANIE CRAVENS EARLY CHILDHOOD,101924,101924107,4,False,M,,,P,,,P,,,P,,,P
SHELDON ISD,SHELDON EL,101924,101924108,4,False,M,69,60,Y,46,32,Y,44,28,Y,33,12,Y
SHELDON ISD,H M CARROLL EL,101924,101924109,4,False,M,68,60,Y,40,32,Y,40,28,Y,31,12,Y
SHELDON ISD,SHELDON EARLY CHILDHOOD ACADEMY,101924,101924110,4,False,M,,,P,,,P,,,P,,,P
SHELDON ISD,GARRETT EL,101924,101924111,4,False,M,62,60,Y,40,32,Y,34,28,Y,27,12,Y
HUFFMAN ISD,HARGRAVE H S,101925,101925001,4,False,M,86,60,Y,30,17,Y,53,30,Y,82,60,Y
HUFFMAN ISD,HUFFMAN MIDDLE,101925,101925041,4,False,M,72,60,Y,33,30,Y,35,26,Y,35,13,Y
HUFFMAN ISD,BEN BOWEN EARLY CHILDHOOD,101925,101925101,4,False,M,,,P,,,P,,,P,,,P
HUFFMAN ISD,COPELAND EL,101925,101925103,4,False,M,76,60,Y,47,32,Y,37,28,Y,37,12,Y
KARNACK ISD,GEORGE WASHINGTON CARVER EL,102901,102901103,7,False,M,62,60,Y,32,32,Y,34,28,Y,30,12,Y
MARSHALL ISD,MARSHALL H S,102902,102902001,7,False,M,58,60,N,18,17,Y,32,30,Y,70,60,Y
MARSHALL ISD,MARSHALL J H,102902,102902041,7,False,M,61,60,Y,38,30,Y,31,26,Y,27,13,Y
MARSHALL ISD,PRICE T YOUNG MIDDLE,102902,102902042,7,False,M,59,60,N,32,30,Y,30,26,Y,20,13,Y
MARSHALL ISD,SAM HOUSTON MIDDLE,102902,102902043,7,False,M,58,60,N,33,30,Y,29,26,Y,20,13,Y
MARSHALL ISD,G W CARVER EL,102902,102902101,7,False,M,48,60,N,44,32,Y,28,28,Y,16,12,Y
MARSHALL ISD,CROCKETT EL,102902,102902103,7,False,M,53,60,N,37,32,Y,28,28,Y,22,12,Y
MARSHALL ISD,R E LEE EL,102902,102902106,7,False,I,59,60,N,30,32,N,38,28,Y,24,12,Y
MARSHALL ISD,SOUTH MARSHALL EL,102902,102902107,7,False,M,91,60,Y,56,32,Y,59,28,Y,62,12,Y
MARSHALL ISD,WM B TRAVIS EL,102902,102902108,7,False,I,41,60,N,21,32,N,21,28,N,19,12,Y
MARSHALL ISD,WASHINGTON ECH CTR,102902,102902110,7,False,M,,,P,,,P,,,P,,,P
MARSHALL ISD,J H MOORE EL,102902,102902116,7,False,M,59,60,N,45,32,Y,30,28,Y,14,12,Y
WASKOM ISD,WASKOM H S,102903,102903002,7,False,M,65,60,Y,20,17,Y,37,30,Y,76,60,Y
WASKOM ISD,WASKOM MIDDLE,102903,102903041,7,False,M,67,60,Y,34,30,Y,33,26,Y,29,13,Y
WASKOM ISD,WASKOM EL,102903,102903103,7,False,M,64,60,Y,31,32,N,33,28,Y,36,12,Y
HALLSVILLE ISD,HALLSVILLE H S,102904,102904002,7,False,M,85,60,Y,30,17,Y,50,30,Y,82,60,Y
HALLSVILLE ISD,HALLSVILLE J H,102904,102904041,7,False,M,81,60,Y,39,30,Y,41,26,Y,42,13,Y
HALLSVILLE ISD,HALLSVILLE PRI,102904,102904102,7,False,M,,,P,,,P,,,P,,,P
HALLSVILLE ISD,HALLSVILLE INT,102904,102904104,7,False,M,82,60,Y,40,32,Y,44,28,Y,47,12,Y
HALLSVILLE ISD,HALLSVILLE EAST EL,102904,102904107,7,False,M,78,60,Y,43,32,Y,43,28,Y,42,12,Y
HALLSVILLE ISD,HALLSVILLE NORTH EL,102904,102904108,7,False,M,83,60,Y,50,32,Y,48,28,Y,45,12,Y
HARLETON ISD,HARLETON H S,102905,102905001,7,False,M,89,60,Y,40,17,Y,46,30,Y,83,60,Y
HARLETON ISD,HARLETON J H,102905,102905041,7,False,M,80,60,Y,40,30,Y,42,26,Y,40,13,Y
HARLETON ISD,HARLETON EL,102905,102905101,7,False,M,88,60,Y,47,32,Y,53,28,Y,55,12,Y
ELYSIAN FIELDS ISD,ELYSIAN FIELDS H S,102906,102906001,7,False,M,89,60,Y,37,17,Y,50,30,Y,84,60,Y
ELYSIAN FIELDS ISD,ELYSIAN FIELDS MIDDLE,102906,102906041,7,False,M,82,60,Y,40,30,Y,42,26,Y,44,13,Y
ELYSIAN FIELDS ISD,ELYSIAN FIELDS EL,102906,102906101,7,False,M,86,60,Y,42,32,Y,47,28,Y,46,12,Y
CHANNING ISD,CHANNING SCHOOL,103901,103901001,16,False,M,75,60,Y,44,17,Y,39,30,Y,81,60,Y
HARTLEY ISD,HARTLEY SCHOOL,103902,103902001,16,False,M,80,60,Y,50,17,Y,46,30,Y,81,60,Y
HASKELL CISD,HASKELL H S,104901,104901001,14,False,M,80,60,Y,34,17,Y,48,30,Y,81,60,Y
HASKELL CISD,HASKELL J H,104901,104901041,14,False,M,77,60,Y,40,30,Y,39,26,Y,45,13,Y
HASKELL CISD,HASKELL EL,104901,104901101,14,False,M,68,60,Y,38,32,Y,33,28,Y,28,12,Y
RULE ISD,RULE SCHOOL,104903,104903001,14,False,M,75,60,Y,39,17,Y,39,30,Y,76,60,Y
PAINT CREEK ISD,PAINT CREEK SCHOOL,104907,104907001,14,False,M,82,60,Y,39,17,Y,43,30,Y,85,60,Y
KATHERINE ANNE PORTER SCHOOL,KATHERINE ANNE PORTER SCHOOL,105801,105801001,13,True,A,65,35,Y,18,8,Y,33,13,Y,100,33,Y
TEXAS PREPARATORY SCHOOL,TEXAS PREPARATORY SCHOOL,105802,105802041,13,False,M,78,60,Y,88,32,Y,45,28,Y,30,12,Y
TEXAS PREPARATORY SCHOOL,TEXAS PREPARATORY SCHOOL - AUSTIN,105802,105802101,13,False,I,56,60,N,56,32,Y,39,28,Y,10,12,N
KI CHARTER ACADEMY,KI CHARTER ACADEMY,105803,105803001,13,True,X,26,35,X,31,8,X,17,13,X,,,X
SAN MARCOS CISD,SAN MARCOS H S,105902,105902001,13,False,M,65,60,Y,18,17,Y,37,30,Y,70,60,Y
SAN MARCOS CISD,HAYS CO JUVENILE JUSTICE ALTERNATI,105902,105902004,13,False,X,,60,X,,17,X,,30,X,,,X
SAN MARCOS CISD,GOODNIGHT MIDDLE,105902,105902041,13,False,M,73,60,Y,37,30,Y,38,26,Y,40,13,Y
SAN MARCOS CISD,MILLER MIDDLE,105902,105902043,13,False,M,65,60,Y,34,30,Y,30,26,Y,29,13,Y
SAN MARCOS CISD,BOWIE EL,105902,105902101,13,False,M,66,60,Y,48,32,Y,35,28,Y,38,12,Y
SAN MARCOS CISD,CROCKETT EL,105902,105902102,13,False,M,78,60,Y,46,32,Y,36,28,Y,47,12,Y
SAN MARCOS CISD,DEZAVALA EL,105902,105902103,13,False,M,59,60,N,38,32,Y,30,28,Y,27,12,Y
SAN MARCOS CISD,TRAVIS EL,105902,105902105,13,False,M,61,60,Y,33,32,Y,33,28,Y,28,12,Y
SAN MARCOS CISD,HERNANDEZ EL,105902,105902107,13,False,M,72,60,Y,47,32,Y,38,28,Y,36,12,Y
SAN MARCOS CISD,MENDEZ EL,105902,105902108,13,False,M,68,60,Y,45,32,Y,35,28,Y,24,12,Y
SAN MARCOS CISD,BONHAM PRE-K SCHOOL,105902,105902109,13,False,M,,,P,,,P,,,P,,,P
DRIPPING SPRINGS ISD,DRIPPING SPRINGS H S,105904,105904001,13,False,M,91,60,Y,29,17,Y,50,30,Y,89,60,Y
DRIPPING SPRINGS ISD,DRIPPING SPRINGS MIDDLE,105904,105904041,13,False,M,90,60,Y,44,30,Y,51,26,Y,71,13,Y
DRIPPING SPRINGS ISD,DRIPPING SPRINGS EL,105904,105904101,13,False,M,86,60,Y,41,32,Y,42,28,Y,56,12,Y
DRIPPING SPRINGS ISD,WALNUT SPRINGS EL,105904,105904102,13,False,M,87,60,Y,39,32,Y,43,28,Y,58,12,Y
DRIPPING SPRINGS ISD,ROOSTER SPRINGS EL,105904,105904103,13,False,M,90,60,Y,48,32,Y,46,28,Y,55,12,Y
WIMBERLEY ISD,WIMBERLEY H S,105905,105905001,13,False,M,87,60,Y,34,17,Y,47,30,Y,82,60,Y
WIMBERLEY ISD,DANFORTH J H,105905,105905041,13,False,M,84,60,Y,36,30,Y,45,26,Y,51,13,Y
WIMBERLEY ISD,JACOB'S WELL EL,105905,105905101,13,False,M,82,60,Y,46,32,Y,39,28,Y,46,12,Y
WIMBERLEY ISD,SCUDDER PRI,105905,105905102,13,False,M,,,P,,,P,,,P,,,P
HAYS CISD,JACK C HAYS H S,105906,105906001,13,False,M,79,60,Y,26,17,Y,44,30,Y,83,60,Y
HAYS CISD,HAYS CO JUVENILE JUSTICE ALT ED PR,105906,105906003,13,False,X,,60,X,,17,X,,30,X,,,X
HAYS CISD,LIVE OAK ACADEMY,105906,105906004,13,True,A,68,35,Y,20,8,Y,25,13,Y,100,33,Y
HAYS CISD,LEHMAN H S,105906,105906005,13,False,M,66,60,Y,22,17,Y,41,30,Y,77,60,Y
HAYS CISD,R C BARTON MIDDLE,105906,105906041,13,False,M,86,60,Y,41,30,Y,49,26,Y,53,13,Y
HAYS CISD,ERIC DAHLSTROM MIDDLE,105906,105906043,13,False,M,82,60,Y,42,30,Y,40,26,Y,51,13,Y
HAYS CISD,LAURA B WALLACE MIDDLE,105906,105906044,13,False,M,67,60,Y,32,30,Y,34,26,Y,33,13,Y
HAYS CISD,ARMANDO CHAPA MIDDLE,105906,105906045,13,False,M,65,60,Y,34,30,Y,32,26,Y,30,13,Y
HAYS CISD,D J RED SIMON MIDDLE,105906,105906046,13,False,M,59,60,N,33,30,Y,30,26,Y,25,13,Y
HAYS CISD,DR T C MCCORMICK JR MIDDLE,105906,105906047,13,False,M,62,60,Y,30,30,Y,29,26,Y,26,13,Y
HAYS CISD,KYLE EL,105906,105906101,13,False,M,65,60,Y,39,32,Y,29,28,Y,31,12,Y
HAYS CISD,TOM GREEN EL,105906,105906103,13,False,M,63,60,Y,44,32,Y,33,28,Y,28,12,Y
HAYS CISD,BUDA EL,105906,105906106,13,False,M,76,60,Y,44,32,Y,38,28,Y,43,12,Y
HAYS CISD,ELM GROVE EL,105906,105906107,13,False,M,82,60,Y,42,32,Y,41,28,Y,41,12,Y
HAYS CISD,SUSIE FUENTES EL,105906,105906108,13,False,M,61,60,Y,45,32,Y,30,28,Y,28,12,Y
HAYS CISD,HEMPHILL EL,105906,105906109,13,False,I,44,60,N,36,32,Y,21,28,N,11,12,N
HAYS CISD,TOBIAS EL,105906,105906110,13,False,M,63,60,Y,31,32,N,31,28,Y,25,12,Y
HAYS CISD,LAURA B NEGLEY EL,105906,105906111,13,False,M,82,60,Y,46,32,Y,43,28,Y,47,12,Y
HAYS CISD,SCIENCE HALL EL,105906,105906112,13,False,I,55,60,N,37,32,Y,26,28,N,24,12,Y
HAYS CISD,BLANCO VISTA EL,105906,105906113,13,False,M,71,60,Y,49,32,Y,40,28,Y,45,12,Y
HAYS CISD,CAMINO REAL EL,105906,105906114,13,False,M,62,60,Y,39,32,Y,32,28,Y,25,12,Y
HAYS CISD,CARPENTER HILL EL,105906,105906115,13,False,M,89,60,Y,37,32,Y,49,28,Y,53,12,Y
HAYS CISD,RALPH PFLUGER EL,105906,105906116,13,False,M,78,60,Y,49,32,Y,45,28,Y,49,12,Y
CANADIAN ISD,CANADIAN H S,106901,106901001,16,False,M,90,60,Y,45,17,Y,55,30,Y,87,60,Y
CANADIAN ISD,CANADIAN MIDDLE,106901,106901041,16,False,M,88,60,Y,41,30,Y,46,26,Y,59,13,Y
CANADIAN ISD,BAKER EL,106901,106901101,16,False,M,86,60,Y,52,32,Y,47,28,Y,56,12,Y
CANADIAN ISD,CANADIAN EL,106901,106901103,16,False,M,,,P,,,P,,,P,,,P
ATHENS ISD,ATHENS H S,107901,107901001,10,False,M,76,60,Y,29,17,Y,40,30,Y,81,60,Y
ATHENS ISD,ATHENS MIDDLE,107901,107901041,10,False,M,65,60,Y,37,30,Y,30,26,Y,30,13,Y
ATHENS ISD,SOUTH ATHENS EL,107901,107901102,10,False,M,82,60,Y,49,32,Y,45,28,Y,51,12,Y
ATHENS ISD,CENTRAL ATHENS,107901,107901103,10,False,M,71,60,Y,43,32,Y,40,28,Y,32,12,Y
ATHENS ISD,BEL AIR EL,107901,107901104,10,False,M,68,60,Y,37,32,Y,34,28,Y,32,12,Y
BROWNSBORO ISD,BROWNSBORO H S,107902,107902001,7,False,M,80,60,Y,21,17,Y,46,30,Y,87,60,Y
BROWNSBORO ISD,BROWNSBORO J H,107902,107902041,7,False,M,77,60,Y,39,30,Y,41,26,Y,39,13,Y
BROWNSBORO ISD,BROWNSBORO EL,107902,107902101,7,False,M,84,60,Y,83,32,Y,59,28,Y,48,12,Y
BROWNSBORO ISD,CHANDLER INT,107902,107902102,7,False,M,69,60,Y,35,32,Y,36,28,Y,30,12,Y
BROWNSBORO ISD,CHANDLER EL,107902,107902103,7,False,M,91,60,Y,65,32,Y,59,28,Y,40,12,Y
BROWNSBORO ISD,BROWNSBORO INT,107902,107902104,7,False,M,73,60,Y,33,32,Y,38,28,Y,34,12,Y
CROSS ROADS ISD,CROSS ROADS H S,107904,107904001,7,False,M,90,60,Y,49,17,Y,53,30,Y,88,60,Y
CROSS ROADS ISD,CROSS ROADS J H,107904,107904041,7,False,M,84,60,Y,40,30,Y,46,26,Y,43,13,Y
CROSS ROADS ISD,CROSS ROADS EL,107904,107904101,7,False,M,72,60,Y,42,32,Y,34,28,Y,29,12,Y
EUSTACE ISD,EUSTACE H S,107905,107905001,7,False,M,82,60,Y,30,17,Y,47,30,Y,78,60,Y
EUSTACE ISD,EUSTACE PRI,107905,107905101,7,False,M,,,P,,,P,,,P,,,P
EUSTACE ISD,EUSTACE MIDDLE,107905,107905102,7,False,M,76,60,Y,41,30,Y,39,26,Y,35,13,Y
EUSTACE ISD,EUSTACE INT,107905,107905103,7,False,M,81,60,Y,42,32,Y,49,28,Y,45,12,Y
MALAKOFF ISD,MALAKOFF H S,107906,107906001,7,False,M,70,60,Y,32,17,Y,45,30,Y,82,60,Y
MALAKOFF ISD,GATEWAY,107906,107906002,7,False,Z,,60,Z,,17,Z,,30,Z,,,Z
MALAKOFF ISD,MALAKOFF ALTERNATIVE PROGRAM (MAP),107906,107906003,7,False,X,,60,X,,17,X,,30,X,,,X
MALAKOFF ISD,MALAKOFF MIDDLE,107906,107906041,7,False,M,82,60,Y,33,30,Y,47,26,Y,38,13,Y
MALAKOFF ISD,MALAKOFF EL,107906,107906102,7,False,M,94,60,Y,43,32,Y,64,28,Y,67,12,Y
MALAKOFF ISD,TOOL EL,107906,107906104,7,False,M,96,60,Y,43,32,Y,63,28,Y,62,12,Y
TRINIDAD ISD,TRINIDAD SCHOOL,107907,107907001,7,False,M,69,60,Y,41,17,Y,39,30,Y,60,60,Y
MURCHISON ISD,MURCHISON EL,107908,107908101,7,False,M,74,60,Y,38,32,Y,41,28,Y,34,12,Y
LAPOYNOR ISD,LAPOYNOR H S,107910,107910001,7,False,M,79,60,Y,44,17,Y,49,30,Y,84,60,Y
LAPOYNOR ISD,LAPOYNOR J H,107910,107910041,7,False,M,71,60,Y,34,30,Y,34,26,Y,27,13,Y
LAPOYNOR ISD,LAPOYNOR EL,107910,107910101,7,False,M,80,60,Y,34,32,Y,42,28,Y,31,12,Y
HORIZON MONTESSORI PUBLIC SCHOOLS,HORIZON MONTESSORI,108802,108802101,1,False,M,79,60,Y,47,32,Y,39,28,Y,42,12,Y
HORIZON MONTESSORI PUBLIC SCHOOLS,HORIZON MONTESSORI II,108802,108802102,1,False,M,74,60,Y,45,32,Y,41,28,Y,37,12,Y
HORIZON MONTESSORI PUBLIC SCHOOLS,HORIZON MONTESSORI III,108802,108802103,1,False,M,78,60,Y,30,32,N,44,28,Y,31,12,Y
MIDVALLEY ACADEMY CHARTER DISTRICT,MIDVALLEY ACADEMY-MERCEDES CHARTER,108804,108804001,1,True,A,47,35,Y,15,8,Y,30,13,Y,100,33,Y
MIDVALLEY ACADEMY CHARTER DISTRICT,MIDVALLEY ACADEMY-MCALLEN CHARTER,108804,108804002,1,True,A,46,35,Y,19,8,Y,31,13,Y,100,33,Y
MIDVALLEY ACADEMY CHARTER DISTRICT,MIDVALLEY ACADEMY-SAN BENITO CHART,108804,108804003,1,True,A,53,35,Y,21,8,Y,35,13,Y,100,33,Y
IDEA PUBLIC SCHOOLS,IDEA COLLEGE PREP,108807,108807001,1,False,M,86,60,Y,38,17,Y,55,30,Y,90,60,Y
