DISTNAME,CAMPNAME,District_ID,Campus_ID,REGION,CFLALTED,C_RATING,CI1,CI1_CUT,CI1_MET,CI2,CI2_CUT,CI2_MET,CI3,CI3_CUT,CI3_MET,CI4,CI4_CUT,CI4_MET
DIBOLL ISD,H G TEMPLE EL,003905,003905101,7,False,M,64,60,Y,50,32,Y,41,28,Y,30,12,Y
DIBOLL ISD,DIBOLL PRI,003905,003905102,7,False,M,,,P,,,P,,,P,,,P
DIBOLL ISD,H G TEMPLE INT,003905,003905103,7,False,M,73,60,Y,41,32,Y,36,28,Y,28,12,Y
ZAVALLA ISD,ZAVALLA H S,003906,003906001,7,False,I,60,60,Y,34,17,Y,26,30,N,69,60,Y
ZAVALLA ISD,STUBBLEFIELD LRN CTR,003906,003906004,7,True,Z,,35,Z,,8,Z,,13,Z,,,Z
ZAVALLA ISD,ZAVALLA EL,003906,003906101,7,False,M,64,60,Y,24,32,N,30,28,Y,27,12,Y
CENTRAL ISD,CENTRAL H S,003907,003907001,7,False,M,72,60,Y,23,17,Y,44,30,Y,81,60,Y
CENTRAL ISD,STUBBLEFIELD LRN CTR,003907,003907004,7,True,Z,,35,Z,,8,Z,,13,Z,100,33,Z
CENTRAL ISD,CENTRAL J H,003907,003907041,7,False,M,75,60,Y,44,30,Y,37,26,Y,37,13,Y
CENTRAL ISD,CENTRAL EL,003907,003907102,7,False,M,75,60,Y,33,32,Y,40,28,Y,40,12,Y
ARANSAS COUNTY ISD,ROCKPORT-FULTON H S,004901,004901001,2,False,M,75,60,Y,30,17,Y,42,30,Y,78,60,Y
ARANSAS COUNTY ISD,ROCKPORT-FULTON MIDDLE,004901,004901041,2,False,M,69,60,Y,34,30,Y,34,26,Y,32,13,Y
ARANSAS COUNTY ISD,FULTON 4-5 LEARNING CENTER,004901,004901101,2,False,M,69,60,Y,47,32,Y,35,28,Y,36,12,Y
ARANSAS COUNTY ISD,LITTLE BAY PRI,004901,004901102,2,False,I,,,P,,,P,,,P,,,P
ARANSAS COUNTY ISD,LIVE OAK 1-3 LEARNING CENTER,004901,004901103,2,False,I,56,60,N,12,32,N,29,28,Y,20,12,Y
ARCHER CITY ISD,ARCHER CITY H S,005901,005901001,9,False,M,84,60,Y,43,17,Y,39,30,Y,82,60,Y
ARCHER CITY ISD,ARCHER CITY EL,005901,005901101,9,False,M,81,60,Y,45,32,Y,43,28,Y,48,12,Y
HOLLIDAY ISD,HOLLIDAY H S,005902,005902001,9,False,M,88,60,Y,37,17,Y,44,30,Y,87,60,Y
HOLLIDAY ISD,HOLLIDAY MIDDLE,005902,005902041,9,False,M,86,60,Y,41,30,Y,35,26,Y,57,13,Y
HOLLIDAY ISD,HOLLIDAY EL,005902,005902101,9,False,M,90,60,Y,44,32,Y,50,28,Y,49,12,Y
WINDTHORST ISD,WINDTHORST H S,005904,005904001,9,False,M,86,60,Y,36,17,Y,50,30,Y,89,60,Y
WINDTHORST ISD,WINDTHORST JH,005904,005904041,9,False,M,87,60,Y,39,30,Y,44,26,Y,54,13,Y
WINDTHORST ISD,WINDTHORST EL,005904,005904101,9,False,M,88,60,Y,39,32,Y,52,28,Y,46,12,Y
CLAUDE ISD,CLAUDE H S,006902,006902001,16,False,M,76,60,Y,30,17,Y,38,30,Y,78,60,Y
CLAUDE ISD,CLAUDE EL,006902,006902101,16,False,M,88,60,Y,54,32,Y,48,28,Y,49,12,Y
CHARLOTTE ISD,CHARLOTTE H S,007901,007901001,20,False,M,64,60,Y,19,17,Y,39,30,Y,71,60,Y
CHARLOTTE ISD,DISTRICT REASSIGNMENT & OPPORTUNIT,007901,007901003,20,False,X,,60,X,,17,X,,30,X,,,X
CHARLOTTE ISD,CHARLOTTE MIDDLE,007901,007901041,20,False,M,74,60,Y,38,30,Y,36,26,Y,41,13,Y
CHARLOTTE ISD,CHARLOTTE EL,007901,007901101,20,False,M,65,60,Y,48,32,Y,30,28,Y,23,12,Y
JOURDANTON ISD,JOURDANTON H S,007902,007902001,20,False,M,75,60,Y,28,17,Y,42,30,Y,79,60,Y
JOURDANTON ISD,ATASCOSA COUNTY JUVENILE JUSTICE C,007902,007902005,20,False,Z,,60,Z,,17,Z,,30,Z,,,Z
JOURDANTON ISD,JOURDANTON DAEP,007902,007902006,20,False,X,,60,X,,17,X,,30,X,,,X
JOURDANTON ISD,JOURDANTON J H,007902,007902041,20,False,M,79,60,Y,41,30,Y,41,26,Y,48,13,Y
