GEO.id,GEO.id2,GEO.display-label,HD01_S113,HD01_S114,HD01_S122,HD01_S123,HD01_S124,HD01_S125,HD01_S126,HD01_S127,HD01_S128,HD01_S129
Id,Id2,Geography,Number; Total population,Number; Total population - Hispanic or Latino,Number; Total population - Not Hispanic or Latino,Number; Total population - Not Hispanic or Latino - White alone,Number; Total population - Not Hispanic or Latino - Black or African American alone,Number; Total population - Not Hispanic or Latino - American Indian and Alaska Native alone,Number; Total population - Not Hispanic or Latino - Asian alone,Number; Total population - Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Number; Total population - Not Hispanic or Latino - Some Other Race alone,Number; Total population - Not Hispanic or Latino - Two or More Races
0500000US48265,48265,"Kerr County, Texas",49625,11895,37730,35851,739,207,361,19,38,515
0500000US48267,48267,"Kimble County, Texas",4607,1077,3530,3450,16,17,19,3,6,19
0500000US48269,48269,"King County, Texas",286,39,247,242,0,1,0,0,0,4
0500000US48271,48271,"Kinney County, Texas",3598,2004,1594,1496,39,19,10,0,6,24
0500000US48273,48273,"Kleberg County, Texas",32061,22495,9566,7479,1070,51,715,26,28,197
0500000US48275,48275,"Knox County, Texas",3719,1101,2618,2347,209,14,7,1,4,36
0500000US48277,48277,"Lamar County, Texas",49793,3223,46570,37891,6628,592,304,5,27,1123
0500000US48279,48279,"Lamb County, Texas",13977,7231,6746,6020,555,39,17,4,16,95
0500000US48281,48281,"Lampasas County, Texas",19677,3443,16234,14836,581,127,184,35,31,440
0500000US48283,48283,"La Salle County, Texas",6886,5920,966,894,18,25,6,0,5,18
0500000US48285,48285,"Lavaca County, Texas",19263,3077,16186,14674,1255,30,56,17,18,136
0500000US48287,48287,"Lee County, Texas",16612,3724,12888,10798,1772,44,52,17,7,198
0500000US48289,48289,"Leon County, Texas",16801,2260,14541,13078,1181,57,75,2,1,147
0500000US48291,48291,"Liberty County, Texas",75643,13602,62041,52321,8074,289,337,23,120,877
0500000US48293,48293,"Limestone County, Texas",23384,4465,18919,14433,4041,68,84,1,22,270
0500000US48295,48295,"Lipscomb County, Texas",3302,1007,2295,2213,7,22,10,0,2,41
0500000US48297,48297,"Live Oak County, Texas",11531,4060,7471,6805,453,62,56,3,9,83
0500000US48299,48299,"Llano County, Texas",19301,1542,17759,17303,102,87,76,5,11,175
0500000US48301,48301,"Loving County, Texas",82,18,64,60,0,4,0,0,0,0
0500000US48303,48303,"Lubbock County, Texas",278831,88924,189907,159815,19957,1026,5650,161,284,3014
0500000US48305,48305,"Lynn County, Texas",5915,2743,3172,2984,113,28,8,0,5,34
0500000US48307,48307,"McCulloch County, Texas",8283,2476,5807,5568,133,23,28,1,9,45
0500000US48309,48309,"McLennan County, Texas",234906,55471,179435,138295,33892,704,3128,84,235,3097
0500000US48311,48311,"McMullen County, Texas",707,261,446,432,8,0,3,0,0,3
0500000US48313,48313,"Madison County, Texas",13664,2688,10976,8030,2687,32,77,1,4,145
0500000US48315,48315,"Marion County, Texas",10546,328,10218,7564,2319,72,50,3,8,202
0500000US48317,48317,"Martin County, Texas",4799,2086,2713,2578,67,15,11,3,7,32
0500000US48319,48319,"Mason County, Texas",4012,864,3148,3092,14,11,7,0,4,20
0500000US48321,48321,"Matagorda County, Texas",36702,14074,22628,17400,4060,104,693,7,33,331
0500000US48323,48323,"Maverick County, Texas",54258,51914,2344,1552,75,506,140,2,15,54
0500000US48325,48325,"Medina County, Texas",46006,22871,23135,21408,913,146,272,24,28,344
0500000US48327,48327,"Menard County, Texas",2242,790,1452,1425,11,6,3,0,1,6
0500000US48329,48329,"Midland County, Texas",136872,51600,85272,72822,8675,552,1639,42,211,1331
0500000US48331,48331,"Milam County, Texas",24757,5780,18977,16216,2380,76,95,0,10,200
0500000US48333,48333,"Mills County, Texas",4936,818,4118,4024,26,15,10,1,0,42
0500000US48335,48335,"Mitchell County, Texas",9403,3481,5922,4753,1043,44,27,0,10,45
0500000US48337,48337,"Montague County, Texas",19719,1930,17789,17347,38,137,59,3,3,202
0500000US48339,48339,"Montgomery County, Texas",455746,94698,361048,324611,18537,1807,9347,241,635,5870
0500000US48341,48341,"Moore County, Texas",21904,11542,10362,8370,287,107,1323,18,61,196
0500000US48343,48343,"Morris County, Texas",12934,1003,11931,8636,2952,82,43,3,7,208
0500000US48345,48345,"Motley County, Texas",1210,163,1047,1013,24,8,0,0,0,2
0500000US48347,48347,"Nacogdoches County, Texas",64524,11356,53168,39699,11573,230,775,15,54,822
0500000US48349,48349,"Navarro County, Texas",47735,11345,36390,28587,6490,155,239,380,40,499
0500000US48351,48351,"Newton County, Texas",14445,403,14042,10825,2891,77,62,1,0,186
0500000US48353,48353,"Nolan County, Texas",15216,5103,10113,9191,666,44,58,0,8,146
0500000US48355,48355,"Nueces County, Texas",340223,206293,133930,111870,12178,882,5495,209,399,2897
0500000US48357,48357,"Ochiltree County, Texas",10223,4982,5241,5062,19,66,24,3,0,67
0500000US48359,48359,"Oldham County, Texas",2052,243,1809,1699,60,11,17,0,0,22
0500000US48361,48361,"Orange County, Texas",81837,4766,77071,67895,6922,340,797,38,73,1006
0500000US48363,48363,"Palo Pinto County, Texas",28111,4985,23126,21958,597,135,132,11,13,280
0500000US48365,48365,"Panola County, Texas",23796,1970,21826,17521,3850,84,72,3,24,272
0500000US48367,48367,"Parker County, Texas",116927,12410,104517,99698,1842,768,631,35,64,1479
0500000US48369,48369,"Parmer County, Texas",10269,6164,4105,3943,91,17,18,8,2,26
0500000US48371,48371,"Pecos County, Texas",15507,10430,5077,4326,528,57,74,5,17,70
0500000US48373,48373,"Polk County, Texas",45413,5959,39454,32830,5153,778,180,7,14,492
0500000US48375,48375,"Potter County, Texas",121073,42692,78381,59322,11823,602,4675,43,155,1761
0500000US48377,48377,"Presidio County, Texas",7818,6521,1297,1136,27,22,75,0,3,34
0500000US48379,48379,"Rains County, Texas",10914,839,10075,9553,249,95,55,1,0,122
0500000US48381,48381,"Randall County, Texas",120725,19775,100950,94361,2701,586,1625,29,93,1555
0500000US48383,48383,"Reagan County, Texas",3367,2051,1316,1219,65,7,1,0,1,23
0500000US48385,48385,"Real County, Texas",3309,814,2495,2398,20,23,2,12,1,39
0500000US48387,48387,"Red River County, Texas",12860,849,12011,9503,2211,92,23,0,3,179
0500000US48389,48389,"Reeves County, Texas",13783,10233,3550,2690,672,21,118,2,20,27
0500000US48391,48391,"Refugio County, Texas",7383,3487,3896,3337,445,25,27,0,9,53
0500000US48393,48393,"Roberts County, Texas",929,74,855,841,0,3,2,0,0,9
0500000US48395,48395,"Robertson County, Texas",16622,2990,13632,9821,3509,47,96,0,9,150
0500000US48397,48397,"Rockwall County, Texas",78337,12470,65867,58046,4397,345,1850,47,116,1066
0500000US48399,48399,"Runnels County, Texas",10501,3361,7140,6841,165,43,19,0,15,57
0500000US48401,48401,"Rusk County, Texas",53330,7609,45721,35237,9359,199,203,14,50,659
0500000US48403,48403,"Sabine County, Texas",10834,344,10490,9484,778,54,33,0,6,135
