CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,C_APPEAL_DECISION,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"003903126"," ","HACKNEY PRI",89," ","N","N","N","N","Y","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","PK","PK","PK - PK","E"
"003903127"," ","HERTY PRI",86," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","02","EE","EE - 02","E"
"003903128"," ","KURTH PRI",84," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"LUFKIN ISD","003903","02","PK","PK - 02","E"
"003903129"," ","SLACK EL",78," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"LUFKIN ISD","003903","05","02","02 - 05","E"
"003903130"," ","TROUT PRI",73," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"LUFKIN ISD","003903","02","EE","EE - 02","E"
"003903131"," ","BURLEY PRI",78," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"LUFKIN ISD","003903","02","KG","KG - 02","E"
"003903141"," ","SPECIAL SERVICES",.," ","N","N","N","N","Y","N","N","N","ANGELINA","003"," ","Not Rated",.,"LUFKIN ISD","003903","KG","EE","EE - KG","E"
"003903201"," ","JUVENILE DETENT CTR",.," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","Not Rated",.,"LUFKIN ISD","003903","11","06","06 - 11","B"
"003904001"," ","HUNTINGTON H S",88," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"HUNTINGTON ISD","003904","12","09","09 - 12","S"
"003904005"," ","PRIDE ALTER SCH",75,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"HUNTINGTON ISD","003904","12","10","10 - 12","S"
"003904041"," ","HUNTINGTON MIDDLE",86," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"HUNTINGTON ISD","003904","08","06","06 - 08","M"
"003904101"," ","HUNTINGTON EL",71," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"HUNTINGTON ISD","003904","03","EE","EE - 03","E"
"003904102"," ","HUNTINGTON INT",81," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"HUNTINGTON ISD","003904","05","04","04 - 05","E"
"003905001"," ","DIBOLL H S",85," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"DIBOLL ISD","003905","12","09","09 - 12","S"
"003905004"," ","STUBBLEFIELD LRN CTR",.,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ANGELINA","003"," ","Not Rated",.,"DIBOLL ISD","003905","12","11","11 - 12","S"
"003905041"," ","DIBOLL J H",83," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"DIBOLL ISD","003905","08","06","06 - 08","M"
"003905101"," ","H G TEMPLE EL",81," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"DIBOLL ISD","003905","02","KG","KG - 02","E"
"003905102"," ","DIBOLL PRI",81," ","N","N","N","N","Y","N","N","N","ANGELINA","003"," ","B",.,"DIBOLL ISD","003905","PK","PK","PK - PK","E"
"003905103"," ","H G TEMPLE INT",81," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"DIBOLL ISD","003905","05","03","03 - 05","E"
"003906001"," ","ZAVALLA H S",82," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"ZAVALLA ISD","003906","12","06","06 - 12","B"
"003906101"," ","ZAVALLA EL",76," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"ZAVALLA ISD","003906","05","PK","PK - 05","E"
"003907001"," ","CENTRAL H S",83," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","B",.,"CENTRAL ISD","003907","12","09","09 - 12","S"
"003907004"," ","STUBBLEFIELD LRN CTR",.," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","Not Rated",.,"CENTRAL ISD","003907","12","12","12 - 12","S"
"003907041"," ","CENTRAL J H",91," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","A",.,"CENTRAL ISD","003907","08","05","05 - 08","M"
"003907102"," ","CENTRAL EL",71," ","N","N","N","N","N","N","N","N","ANGELINA","003"," ","C",.,"CENTRAL ISD","003907","04","EE","EE - 04","E"
"004901001"," ","ROCKPORT-FULTON H S",89," ","N","N","N","N","N","N","N","N","ARANSAS","004"," ","B",.,"ARANSAS COUNTY ISD","004901","12","09","09 - 12","S"
"004901041"," ","ROCKPORT-FULTON MIDDLE",74," ","N","N","N","N","N","N","N","N","ARANSAS","004"," ","C",.,"ARANSAS COUNTY ISD","004901","08","06","06 - 08","M"
"004901101"," ","FULTON LEARNING CENTER",72," ","N","N","N","N","N","N","N","N","ARANSAS","004"," ","C",.,"ARANSAS COUNTY ISD","004901","05","03","03 - 05","E"
"004901102"," ","DISCOVERY LEARNING CENTER",72," ","N","N","N","N","Y","N","N","N","ARANSAS","004"," ","C",.,"ARANSAS COUNTY ISD","004901","PK","EE","EE - PK","E"
"004901103"," ","LIVE OAK LEARNING CENTER",72," ","N","N","N","N","N","N","N","N","ARANSAS","004"," ","C",.,"ARANSAS COUNTY ISD","004901","02","KG","KG - 02","E"
"005901001"," ","ARCHER CITY H S",94," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","A",.,"ARCHER CITY ISD","005901","12","07","07 - 12","S"
"005901101"," ","ARCHER CITY EL",90," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","A",.,"ARCHER CITY ISD","005901","06","PK","PK - 06","E"
"005902001"," ","HOLLIDAY H S",92," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","A",.,"HOLLIDAY ISD","005902","12","09","09 - 12","S"
"005902041"," ","HOLLIDAY MIDDLE",89," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","B",.,"HOLLIDAY ISD","005902","08","06","06 - 08","M"
"005902101"," ","HOLLIDAY EL",79," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","C",.,"HOLLIDAY ISD","005902","05","EE","EE - 05","E"
"005904001"," ","WINDTHORST H S",94," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","A",.,"WINDTHORST ISD","005904","12","09","09 - 12","S"
"005904041"," ","WINDTHORST JH",88," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","B",.,"WINDTHORST ISD","005904","08","06","06 - 08","M"
"005904101"," ","WINDTHORST EL",95," ","N","N","N","N","N","N","N","N","ARCHER","005"," ","A",.,"WINDTHORST ISD","005904","05","PK","PK - 05","E"
"006902001"," ","CLAUDE H S",89," ","N","N","N","N","N","N","N","N","ARMSTRONG","006"," ","B",.,"CLAUDE ISD","006902","12","07","07 - 12","S"
"006902101"," ","CLAUDE EL",86," ","N","N","N","N","N","N","N","N","ARMSTRONG","006"," ","B",.,"CLAUDE ISD","006902","06","PK","PK - 06","E"
"007901001"," ","CHARLOTTE H S",85," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","B",.,"CHARLOTTE ISD","007901","12","09","09 - 12","S"
"007901003"," ","DISTRICT REASSIGNMENT & OPPORTUNIT",.," ","N","N","N","Y","N","N","Y","N","ATASCOSA","007"," ","Not Rated",.,"CHARLOTTE ISD","007901","07","07","07 - 07","M"
"007901041"," ","CHARLOTTE MIDDLE",73," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","C",.,"CHARLOTTE ISD","007901","08","05","05 - 08","M"
"007901101"," ","CHARLOTTE EL",66," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"CHARLOTTE ISD","007901","04","EE","EE - 04","E"
"007902001"," ","JOURDANTON H S",85," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","B",.,"JOURDANTON ISD","007902","12","09","09 - 12","S"
"007902005"," ","ATASCOSA COUNTY JUVENILE JUSTICE C",.,"RESIDENTIAL FACILITY","N","Y","N","N","N","N","N","Y","ATASCOSA","007"," ","Not Rated",.,"JOURDANTON ISD","007902","12","08","08 - 12","S"
"007902006"," ","JOURDANTON DAEP",.," ","N","N","N","Y","N","N","N","N","ATASCOSA","007"," ","Not Rated",.,"JOURDANTON ISD","007902","11","05","05 - 11","B"
"007902041"," ","JOURDANTON J H",85," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","B",.,"JOURDANTON ISD","007902","08","06","06 - 08","M"
"007902101"," ","JOURDANTON EL",69," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"JOURDANTON ISD","007902","05","EE","EE - 05","E"
"007904001"," ","LYTLE H S",77," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","C",.,"LYTLE ISD","007904","12","09","09 - 12","S"
"007904002"," ","LYTLE DAEP",.," ","N","N","N","Y","N","N","N","N","ATASCOSA","007"," ","Not Rated",.,"LYTLE ISD","007904","12","06","06 - 12","B"
"007904003"," ","JJAEP",.," ","N","N","N","N","N","Y","Y","N","ATASCOSA","007"," ","Not Rated",.,"LYTLE ISD","007904","12","09","09 - 12","S"
"007904041"," ","LYTLE J H",66," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"LYTLE ISD","007904","08","06","06 - 08","M"
"007904101"," ","LYTLE EL",65," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"LYTLE ISD","007904","05","02","02 - 05","E"
"007904103"," ","LYTLE PRIMARY SCHOOL",65," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"LYTLE ISD","007904","01","PK","PK - 01","E"
"007905001"," ","PLEASANTON H S",85," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","B",.,"PLEASANTON ISD","007905","12","09","09 - 12","S"
"007905004"," ","ATASCOSA CO ALTER",.," ","N","N","N","N","N","Y","Y","N","ATASCOSA","007"," ","Not Rated",.,"PLEASANTON ISD","007905","09","09","09 - 09","S"
"007905005"," ","PLEASANTON ISD SCHOOL OF CHOICE",89,"AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ATASCOSA","007"," ","B",.,"PLEASANTON ISD","007905","12","11","11 - 12","S"
"007905041"," ","PLEASANTON J H",63," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"PLEASANTON ISD","007905","08","06","06 - 08","M"
"007905103"," ","PLEASANTON EL",57," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","F",1,"PLEASANTON ISD","007905","05","02","02 - 05","E"
"007905105"," ","PLEASANTON PRI",57," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","F",1,"PLEASANTON ISD","007905","01","EE","EE - 01","E"
"007906001"," ","POTEET H S",81," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","B",.,"POTEET ISD","007906","12","09","09 - 12","S"
"007906003"," ","ATASCOSA CO JUVENILE UNIT",.," ","N","N","N","N","N","Y","N","N","ATASCOSA","007"," ","Not Rated",.,"POTEET ISD","007906","11","07","07 - 11","S"
"007906041"," ","POTEET J H",71," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","C",.,"POTEET ISD","007906","08","06","06 - 08","M"
"007906101"," ","POTEET EL",69," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","D",.,"POTEET ISD","007906","03","EE","EE - 03","E"
"007906102"," ","POTEET INT",76," ","N","N","N","N","N","N","N","N","ATASCOSA","007"," ","C",.,"POTEET ISD","007906","05","04","04 - 05","E"
"008901001"," ","BELLVILLE H S",83," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","B",.,"BELLVILLE ISD","008901","12","09","09 - 12","S"
"008901041"," ","BELLVILLE J H",81," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","B",.,"BELLVILLE ISD","008901","08","06","06 - 08","M"
"008901101"," ","O'BRYANT PRI",79," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","C",.,"BELLVILLE ISD","008901","03","EE","EE - 03","E"
"008901102"," ","O'BRYANT INT",74," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","C",.,"BELLVILLE ISD","008901","05","04","04 - 05","E"
"008901105"," ","WEST END EL",82," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","B",.,"BELLVILLE ISD","008901","05","KG","KG - 05","E"
"008902001"," ","SEALY H S",81," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","B",.,"SEALY ISD","008902","12","09","09 - 12","S"
"008902041"," ","SEALY J H",76," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","C",.,"SEALY ISD","008902","08","06","06 - 08","M"
"008902102"," ","SELMAN EL",86," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","B",.,"SEALY ISD","008902","05","EE","EE - 05","E"
"008902104"," ","SEALY EL",69," ","N","N","N","N","N","N","Y","N","AUSTIN","008"," ","D",.,"SEALY ISD","008902","05","PK","PK - 05","E"
"008903001"," ","BRAZOS H S",88," ","N","N","N","N","N","N","N","N","AUSTIN","008"," ","B",.,"BRAZOS ISD","008903","12","09","09 - 12","S"
