CAMPUS,CALL_UPDATE,CAMPNAME,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,CNTYNAME,COUNTY,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETSPEC,CPETSPEP,C_RATING,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE
"014903005"," ","BELTON NEW TECH H S AT WASKOW",88," ","N","N","N","N","N","N","N","N","BELL","014",34,6.3,541,527,.,0,126,23.9,4,0.8,28,5.3,"Met Standard",.,"BELTON ISD","014903","12","09","09 - 12","S"
"014903043"," ","LAKE BELTON MIDDLE",79," ","N","N","N","N","N","N","N","N","BELL","014",131,14.6,900,839,.,0,416,49.6,37,4.4,103,12.3,"Met Standard",.,"BELTON ISD","014903","08","06","06 - 08","M"
"014903044"," ","SOUTH BELTON MIDDLE",74," ","N","N","N","N","N","N","N","N","BELL","014",107,12.6,848,837,.,0,478,57.1,91,10.9,94,11.2,"Met Standard",.,"BELTON ISD","014903","08","06","06 - 08","M"
"014903045"," ","NORTH BELTON MIDDLE",87," ","N","N","N","N","N","N","N","N","BELL","014",106,10.5,1011,959,.,0,305,31.8,18,1.9,120,12.5,"Met Standard",.,"BELTON ISD","014903","08","06","06 - 08","M"
"014903102"," ","LEON HEIGHTS EL",82," ","N","N","N","N","N","N","N","N","BELL","014",36,14.8,244,275,0,0,139,50.5,5,1.8,30,10.9,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903103"," ","MILLER HEIGHTS EL",83," ","N","N","N","N","N","N","N","N","BELL","014",83,27.3,304,327,.,0,281,85.9,17,5.2,39,11.9,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903104"," ","SOUTHWEST EL",73," ","N","N","N","N","N","N","N","N","BELL","014",44,14.3,308,381,.,0,344,90.3,124,32.5,35,9.2,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903108"," ","LAKEWOOD EL",91," ","N","N","N","N","N","N","N","N","BELL","014",73,12.5,586,677,.,0,177,26.1,5,0.7,83,12.3,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903109"," ","SPARTA EL",94," ","N","N","N","N","N","N","N","N","BELL","014",47,8.5,554,599,.,0,189,31.6,111,18.5,58,9.7,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903111"," ","JOE M PIRTLE EL",89," ","N","N","N","N","N","N","N","N","BELL","014",61,9.2,666,760,.,0,257,33.8,17,2.2,84,11.1,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903116"," ","TARVER EL",93," ","N","N","N","N","N","N","N","N","BELL","014",70,13.6,514,587,.,0,249,42.4,20,3.4,71,12.1,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
"014903117"," ","HIGH POINT EL",77," ","N","N","N","N","N","N","N","N","BELL","014",98,15.3,642,716,.,0,285,39.8,11,1.5,87,12.2,"Met Standard",.,"BELTON ISD","014903","05","KG","KG - 05","E"
