County,School year,Exemption rate,Year
Carson,2019-2020,6.6,2020-06-01
Carson,2010-2011,0.95,2011-06-01
Carson,2012-2013,1.8,2013-06-01
Carson,2014-2015,2.54,2015-06-01
Carson,2018-2019,3.33,2019-06-01
Carson,2015-2016,5.05,2016-06-01
Carson,2016-2017,4.8,2017-06-01
Carson,2011-2012,0.92,2012-06-01
Carson,2017-2018,5.45,2018-06-01
Carson,2013-2014,2.17,2014-06-01
Cass,2014-2015,1.62,2015-06-01
Cass,2011-2012,0.24,2012-06-01
Cass,2016-2017,0.53,2017-06-01
Cass,2017-2018,2.07,2018-06-01
Cass,2018-2019,3.04,2019-06-01
Cass,2012-2013,0,2013-06-01
Cass,2013-2014,1.26,2014-06-01
Cass,2019-2020,3.97,2020-06-01
Cass,2015-2016,1.01,2016-06-01
Cass,2010-2011,0.25,2011-06-01
Castro,2015-2016,0,2016-06-01
Castro,2019-2020,2.98,2020-06-01
Castro,2013-2014,0,2014-06-01
Castro,2010-2011,0,2011-06-01
Castro,2014-2015,0.86,2015-06-01
Castro,2012-2013,0,2013-06-01
Castro,2018-2019,0.89,2019-06-01
Castro,2016-2017,1.62,2017-06-01
Castro,2011-2012,0,2012-06-01
Castro,2017-2018,0.8,2018-06-01
Chambers,2019-2020,2.82,2020-06-01
Chambers,2010-2011,0.64,2011-06-01
Chambers,2012-2013,1.71,2013-06-01
Chambers,2015-2016,1.58,2016-06-01
Chambers,2016-2017,2.33,2017-06-01
Chambers,2018-2019,2.61,2019-06-01
Chambers,2014-2015,1.02,2015-06-01
Chambers,2013-2014,1.28,2014-06-01
Chambers,2017-2018,2.88,2018-06-01
Chambers,2011-2012,0.58,2012-06-01
Cherokee,2017-2018,0.99,2018-06-01
Cherokee,2012-2013,0.45,2013-06-01
Cherokee,2010-2011,0.71,2011-06-01
Cherokee,2018-2019,0.34,2019-06-01
Cherokee,2011-2012,0.15,2012-06-01
Cherokee,2016-2017,0,2017-06-01
Cherokee,2014-2015,0.57,2015-06-01
Cherokee,2019-2020,0.48,2020-06-01
Cherokee,2013-2014,0.3,2014-06-01
Cherokee,2015-2016,0.64,2016-06-01
Childress,2019-2020,3.17,2020-06-01
Childress,2014-2015,0,2015-06-01
Childress,2010-2011,1.19,2011-06-01
Childress,2017-2018,1.2,2018-06-01
Childress,2018-2019,4.61,2019-06-01
Childress,2011-2012,0,2012-06-01
Childress,2012-2013,0,2013-06-01
Childress,2015-2016,0,2016-06-01
Childress,2013-2014,0,2014-06-01
Childress,2016-2017,1.36,2017-06-01
Clay,2016-2017,1,2017-06-01
Clay,2012-2013,0,2013-06-01
Clay,2014-2015,0,2015-06-01
Clay,2015-2016,0.87,2016-06-01
Clay,2013-2014,0,2014-06-01
Clay,2019-2020,1.56,2020-06-01
Clay,2018-2019,0.74,2019-06-01
Clay,2010-2011,0,2011-06-01
Clay,2017-2018,1.75,2018-06-01
Clay,2011-2012,0.89,2012-06-01
Cochran,2019-2020,6.66,2020-06-01
Cochran,2016-2017,0,2017-06-01
Cochran,2012-2013,0,2013-06-01
Cochran,2017-2018,0,2018-06-01
Cochran,2010-2011,0,2011-06-01
Cochran,2015-2016,0,2016-06-01
Cochran,2011-2012,1.96,2012-06-01
Cochran,2018-2019,0,2019-06-01
Cochran,2014-2015,0,2015-06-01
Cochran,2013-2014,0,2014-06-01
Coke,2012-2013,6.06,2013-06-01
Coke,2018-2019,5,2019-06-01
Coke,2013-2014,4.34,2014-06-01
Coke,2019-2020,2.63,2020-06-01
Coke,2010-2011,0,2011-06-01
Coke,2017-2018,3.03,2018-06-01
Coke,2015-2016,0,2016-06-01
Coke,2011-2012,0,2012-06-01
Coke,2016-2017,4.87,2017-06-01
Coke,2014-2015,2.63,2015-06-01
Coleman,2012-2013,0,2013-06-01
Coleman,2013-2014,0,2014-06-01
Coleman,2011-2012,0,2012-06-01
Coleman,2019-2020,0,2020-06-01
Coleman,2016-2017,1.09,2017-06-01
Coleman,2015-2016,1.17,2016-06-01
Coleman,2018-2019,2.43,2019-06-01
Coleman,2017-2018,0,2018-06-01
Coleman,2014-2015,0.97,2015-06-01
Coleman,2010-2011,0,2011-06-01
Collin,2018-2019,4.26,2019-06-01
Collin,2017-2018,3.56,2018-06-01
Collin,2014-2015,3.02,2015-06-01
Collin,2011-2012,2.04,2012-06-01
Collin,2013-2014,2.91,2014-06-01
Collin,2015-2016,3.33,2016-06-01
Collin,2016-2017,3.63,2017-06-01
Collin,2010-2011,1.78,2011-06-01
Collin,2012-2013,2.78,2013-06-01
Collin,2019-2020,4.49,2020-06-01
Collingsworth,2016-2017,5.66,2017-06-01
Collingsworth,2017-2018,1.75,2018-06-01
Collingsworth,2015-2016,0,2016-06-01
Collingsworth,2012-2013,2,2013-06-01
Collingsworth,2011-2012,1.61,2012-06-01
Collingsworth,2010-2011,2.27,2011-06-01
Collingsworth,2013-2014,0,2014-06-01
Collingsworth,2018-2019,0,2019-06-01
Collingsworth,2014-2015,1.96,2015-06-01
Collingsworth,2019-2020,10,2020-06-01
Colorado,2012-2013,0,2013-06-01
Colorado,2018-2019,1.78,2019-06-01
Colorado,2013-2014,0,2014-06-01
Colorado,2016-2017,0,2017-06-01
Colorado,2011-2012,0.5,2012-06-01
Colorado,2019-2020,0.56,2020-06-01
Colorado,2010-2011,0.58,2011-06-01
Colorado,2015-2016,1.15,2016-06-01
Colorado,2017-2018,0,2018-06-01
Colorado,2014-2015,0.49,2015-06-01
Comal,2016-2017,2.14,2017-06-01
Comal,2011-2012,1.73,2012-06-01
Comal,2017-2018,3.84,2018-06-01
Comal,2012-2013,1.62,2013-06-01
Comal,2014-2015,1.82,2015-06-01
Comal,2013-2014,2.7,2014-06-01
Comal,2015-2016,2.43,2016-06-01
Comal,2010-2011,1.58,2011-06-01
Comal,2019-2020,4.69,2020-06-01
Comal,2018-2019,3,2019-06-01
Comanche,2018-2019,0.59,2019-06-01
Comanche,2012-2013,0,2013-06-01
Comanche,2016-2017,0.55,2017-06-01
Comanche,2014-2015,1.86,2015-06-01
Comanche,2010-2011,0.57,2011-06-01
Comanche,2017-2018,2.28,2018-06-01
Comanche,2019-2020,2.29,2020-06-01
Comanche,2011-2012,0.62,2012-06-01
Comanche,2015-2016,0.57,2016-06-01
Comanche,2013-2014,2.77,2014-06-01
Concho,2017-2018,2.94,2018-06-01
Concho,2016-2017,0,2017-06-01
Concho,2018-2019,0,2019-06-01
Concho,2013-2014,0,2014-06-01
