County,School year,Exemption rate
Galveston,2014-2015,1.87
Galveston,2013-2014,1.76
Galveston,2015-2016,1.54
Galveston,2010-2011,1.16
Galveston,2012-2013,1.3
Galveston,2019-2020,2.37
Galveston,2017-2018,2.34
Garza,2019-2020,3.03
Garza,2018-2019,2.12
Garza,2011-2012,0
Garza,2013-2014,0
Garza,2017-2018,0
Garza,2015-2016,1.81
Garza,2012-2013,1.14
Garza,2014-2015,1.11
Garza,2010-2011,0
Garza,2016-2017,0
Gillespie,2014-2015,1.77
Gillespie,2010-2011,0.71
Gillespie,2015-2016,2
Gillespie,2013-2014,1.03
Gillespie,2012-2013,3.41
Gillespie,2011-2012,1.2
Gillespie,2017-2018,5.95
Gillespie,2018-2019,9.67
Gillespie,2019-2020,6.16
Gillespie,2016-2017,2.41
Glasscock,2016-2017,0
Glasscock,2015-2016,0
Glasscock,2012-2013,0
Glasscock,2018-2019,5
Glasscock,2014-2015,0
Glasscock,2011-2012,0
Glasscock,2017-2018,4.34
Glasscock,2013-2014,0
Glasscock,2019-2020,5
Glasscock,2010-2011,0
Goliad,2014-2015,0
Goliad,2015-2016,1.13
Goliad,2011-2012,0
Goliad,2016-2017,0
Goliad,2013-2014,0.99
Goliad,2018-2019,2.08
Goliad,2017-2018,1.36
Goliad,2012-2013,0.95
Goliad,2019-2020,2.56
Goliad,2010-2011,2.56
Gonzales,2019-2020,1.15
Gonzales,2012-2013,0.3
Gonzales,2014-2015,0
Gonzales,2013-2014,0.31
Gonzales,2016-2017,0.34
Gonzales,2018-2019,0.98
Gonzales,2017-2018,1.11
Gonzales,2011-2012,0.83
Gonzales,2010-2011,0
Gonzales,2015-2016,0.66
Gray,2016-2017,0.74
Gray,2012-2013,0.29
Gray,2017-2018,1.35
Gray,2010-2011,0.59
Gray,2011-2012,0.56
Gray,2018-2019,1.48
Gray,2014-2015,0.27
Gray,2015-2016,0.34
Gray,2019-2020,0.7
Gray,2013-2014,0
Grayson,2015-2016,1.93
Grayson,2014-2015,1.64
Grayson,2011-2012,0.9
Grayson,2012-2013,1.67
Grayson,2018-2019,2.93
Grayson,2013-2014,1.16
Grayson,2017-2018,1.68
Grayson,2016-2017,1.98
Grayson,2019-2020,3.42
Grayson,2010-2011,0.78
Gregg,2010-2011,1.02
Gregg,2011-2012,1.28
Gregg,2014-2015,0.92
Gregg,2012-2013,2.15
Gregg,2017-2018,1.62
Gregg,2018-2019,2
Gregg,2015-2016,1.63
Gregg,2016-2017,0.87
Gregg,2019-2020,2.19
Gregg,2013-2014,0.81
Grimes,2016-2017,1.49
Grimes,2012-2013,0
Grimes,2014-2015,0.3
Grimes,2013-2014,0.88
Grimes,2011-2012,0.29
Grimes,2010-2011,0
Grimes,2015-2016,2.55
Grimes,2019-2020,2.11
Grimes,2018-2019,2.2
Grimes,2017-2018,1.32
Guadalupe,2012-2013,1.19
Guadalupe,2019-2020,1.85
Guadalupe,2015-2016,1.53
Guadalupe,2016-2017,1.56
Guadalupe,2014-2015,1.32
Guadalupe,2013-2014,1.18
Guadalupe,2017-2018,1.67
Guadalupe,2010-2011,0.84
Guadalupe,2018-2019,1.71
Guadalupe,2011-2012,0.82
Hale,2015-2016,0
Hale,2017-2018,0.38
