County,School year,Exemption rate
Reeves,2019-2020,1.2
Reeves,2014-2015,0.44
Reeves,2015-2016,1.05
Reeves,2016-2017,1.5
Refugio,2018-2019,4.93
Refugio,2019-2020,3.79
Refugio,2015-2016,0
Refugio,2013-2014,0
Refugio,2014-2015,1.04
Refugio,2011-2012,0.99
Refugio,2016-2017,3.96
Refugio,2012-2013,2.75
Refugio,2017-2018,1.05
Refugio,2010-2011,0
Roberts,2011-2012,0
Roberts,2013-2014,0
Roberts,2017-2018,0
Roberts,2018-2019,0
Roberts,2016-2017,0
Roberts,2019-2020,0
Roberts,2014-2015,0
Roberts,2015-2016,0
Roberts,2012-2013,0
Roberts,2010-2011,0
Robertson,2012-2013,0.36
Robertson,2010-2011,0.82
Robertson,2019-2020,2.89
Robertson,2016-2017,1.32
Robertson,2013-2014,0.39
Robertson,2017-2018,0.89
Robertson,2015-2016,0.4
Robertson,2014-2015,0.5
Robertson,2011-2012,1.27
Robertson,2018-2019,1.28
Rockwall,2010-2011,1.41
Rockwall,2015-2016,1.82
Rockwall,2011-2012,2.43
Rockwall,2018-2019,4.35
Rockwall,2012-2013,2.43
Rockwall,2017-2018,3.32
Rockwall,2019-2020,5.07
Rockwall,2014-2015,2.65
Rockwall,2016-2017,3.2
Rockwall,2013-2014,1.87
Runnels,2016-2017,0.71
Runnels,2015-2016,2.89
Runnels,2019-2020,0
Runnels,2014-2015,1.48
Runnels,2010-2011,1.33
Runnels,2011-2012,0
Runnels,2012-2013,0
Runnels,2013-2014,0
Runnels,2018-2019,0.79
Runnels,2017-2018,0.76
Rusk,2014-2015,0.39
Rusk,2015-2016,0.22
Rusk,2016-2017,0.42
Rusk,2011-2012,0.79
Rusk,2017-2018,0.65
Rusk,2019-2020,2.66
Rusk,2012-2013,0.3
Rusk,2010-2011,0.49
Rusk,2018-2019,1.35
Rusk,2013-2014,0
Sabine,2010-2011,0
Sabine,2018-2019,4.27
Sabine,2014-2015,0.68
Sabine,2019-2020,2.75
Sabine,2012-2013,0.7
Sabine,2015-2016,0.7
Sabine,2017-2018,2.47
Sabine,2016-2017,2.23
Sabine,2013-2014,0
Sabine,2011-2012,0
San Augustine,2016-2017,1.33
San Augustine,2018-2019,1.42
San Augustine,2017-2018,2.32
San Augustine,2011-2012,1.04
San Augustine,2013-2014,3.44
San Augustine,2019-2020,6.25
San Augustine,2014-2015,1.07
San Augustine,2015-2016,1.19
San Augustine,2010-2011,0.98
San Augustine,2012-2013,0.98
San Jacinto,2013-2014,0.4
San Jacinto,2019-2020,3.38
San Jacinto,2014-2015,0.77
San Jacinto,2012-2013,0.82
San Jacinto,2017-2018,0.86
San Jacinto,2015-2016,0.88
San Jacinto,2018-2019,3.77
San Jacinto,2010-2011,0.43
San Jacinto,2011-2012,0
San Jacinto,2016-2017,0.4
San Patricio,2010-2011,0.09
San Patricio,2012-2013,0.18
San Patricio,2014-2015,0.84
San Patricio,2015-2016,0.89
San Patricio,2013-2014,0.44
San Patricio,2016-2017,0.71
San Patricio,2011-2012,0.68
San Patricio,2017-2018,1.67
San Patricio,2019-2020,0.8
San Patricio,2018-2019,0.81
San Saba,2011-2012,2.89
San Saba,2016-2017,3.03
San Saba,2017-2018,3.79
San Saba,2012-2013,2.43
San Saba,2013-2014,0
San Saba,2015-2016,3.57
San Saba,2019-2020,2.73
San Saba,2010-2011,2.98
San Saba,2014-2015,0
San Saba,2018-2019,5.33
Schleicher,2015-2016,0
Schleicher,2011-2012,2.5
Schleicher,2017-2018,
Schleicher,2010-2011,0
Schleicher,2018-2019,0
Schleicher,2019-2020,0
Schleicher,2014-2015,0
Schleicher,2013-2014,0
Schleicher,2012-2013,0
Schleicher,2016-2017,0
Scurry,2014-2015,0
Scurry,2011-2012,0.34
Scurry,2012-2013,0
Scurry,2019-2020,0.87
Scurry,2015-2016,0
Scurry,2016-2017,0.51
Scurry,2010-2011,0
Scurry,2013-2014,0
Scurry,2017-2018,0.4
Scurry,2018-2019,0.89
Shackelford,2014-2015,3.92
Shackelford,2017-2018,4.25
Shackelford,2010-2011,0
Shackelford,2012-2013,2.04
Shackelford,2019-2020,4.87
Shackelford,2016-2017,4.34
Shackelford,2015-2016,3.77
Shackelford,2011-2012,2
Shackelford,2013-2014,2
Shackelford,2018-2019,6.12
Shelby,2011-2012,0
Shelby,2018-2019,1.39
Shelby,2010-2011,0
Shelby,2013-2014,0.49
Shelby,2019-2020,0.89
Shelby,2015-2016,0
Shelby,2014-2015,0
Shelby,2017-2018,0.58
Shelby,2016-2017,0.55
Shelby,2012-2013,0
Sherman,2015-2016,0
Sherman,2017-2018,3.12
Sherman,2011-2012,0
Sherman,2019-2020,0
Sherman,2016-2017,0
Sherman,2013-2014,0
Sherman,2014-2015,0
Sherman,2010-2011,0
Sherman,2012-2013,0
Sherman,2018-2019,0
Smith,2018-2019,2.39
Smith,2013-2014,0.97
Smith,2012-2013,0.65
Smith,2015-2016,1.64
Smith,2017-2018,2.68
Smith,2011-2012,1
Smith,2014-2015,1.37
Smith,2016-2017,1.34
Smith,2019-2020,2.98
Smith,2010-2011,0.53
Somervell,2019-2020,7.14
Somervell,2014-2015,3.22
Somervell,2012-2013,0
Somervell,2013-2014,1.57
Somervell,2017-2018,3.84
Somervell,2010-2011,0
Somervell,2015-2016,3.87
Somervell,2016-2017,0
Somervell,2018-2019,5.22
Somervell,2011-2012,0.8
Starr,2010-2011,0
Starr,2013-2014,0
Starr,2019-2020,0
Starr,2015-2016,0
Starr,2018-2019,0.09
Starr,2011-2012,0.07
Starr,2014-2015,0
Starr,2017-2018,0.09
Starr,2012-2013,0
Starr,2016-2017,0.07
Stephens,2015-2016,0.96
Stephens,2012-2013,0.79
Stephens,2013-2014,0
Stephens,2014-2015,0.86
Stephens,2011-2012,0
Stephens,2016-2017,0
Stephens,2010-2011,0
Stephens,2017-2018,2.8
Stephens,2018-2019,2.85
Stephens,2019-2020,4.54
Sterling,2011-2012,0
Sterling,2010-2011,0
Sterling,2012-2013,0
Sterling,2017-2018,0
Sterling,2013-2014,0
Sterling,2014-2015,2.56
Sterling,2015-2016,0
Sterling,2019-2020,4
Sterling,2018-2019,0
Sterling,2016-2017,0
Stonewall,2013-2014,0
Stonewall,2014-2015,0
Stonewall,2017-2018,0
Stonewall,2019-2020,
Stonewall,2011-2012,
Stonewall,2016-2017,0
Stonewall,2018-2019,0
Stonewall,2010-2011,0
Stonewall,2012-2013,0
Stonewall,2015-2016,0
Sutton,2011-2012,0
Sutton,2018-2019,3.63
Sutton,2019-2020,3.7
Sutton,2013-2014,0
Sutton,2010-2011,0
Sutton,2016-2017,1.96
Sutton,2012-2013,0
Sutton,2017-2018,4.44
Sutton,2014-2015,0
Sutton,2015-2016,0
Swisher,2013-2014,0
Swisher,2019-2020,0.92
Swisher,2017-2018,4.67
Swisher,2012-2013,0
Swisher,2015-2016,0
Swisher,2011-2012,1.75
Swisher,2016-2017,1.8
Swisher,2014-2015,0
Swisher,2010-2011,0
Swisher,2018-2019,0.87
Tarrant,2015-2016,1.84
Tarrant,2013-2014,1.53
Tarrant,2016-2017,2.23
Tarrant,2017-2018,2.51
Tarrant,2018-2019,3.07
Tarrant,2012-2013,1.7
Tarrant,2019-2020,3.04
Tarrant,2011-2012,1.37
Tarrant,2014-2015,1.63
Tarrant,2010-2011,1.01
Taylor,2018-2019,1.87
Taylor,2011-2012,0.72
Taylor,2016-2017,1.01
Taylor,2010-2011,0.44
Taylor,2014-2015,1.3
Taylor,2013-2014,0.76
Taylor,2019-2020,1.78
Taylor,2015-2016,0.94
Taylor,2012-2013,0.99
Taylor,2017-2018,2.12
Terrell,2010-2011,0
Terrell,2019-2020,0
Terrell,2017-2018,0
Terrell,2011-2012,0
Terrell,2018-2019,0
Terrell,2016-2017,0
Terrell,2013-2014,0
Terrell,2015-2016,0
Terrell,2012-2013,0
Terrell,2014-2015,0
Terry,2018-2019,4.93
Terry,2011-2012,1.08
Terry,2016-2017,1.22
Terry,2010-2011,0.53
Terry,2014-2015,0
Terry,2017-2018,0.62
Terry,2012-2013,0
Terry,2013-2014,0
Terry,2019-2020,4.04
Terry,2015-2016,0
Texas,2018-2019,2.16
Texas,2014-2015,1.28
Texas,2013-2014,1.34
Texas,2010-2011,0.82
Texas,2011-2012,1
Texas,2012-2013,1.15
Texas,2017-2018,1.8
Texas,2015-2016,1.34
Texas,2016-2017,1.55
Texas,2019-2020,2.24
Throckmorton,2012-2013,0
Throckmorton,2018-2019,0
Throckmorton,2011-2012,0
Throckmorton,2015-2016,0
Throckmorton,2017-2018,0
Throckmorton,2014-2015,0
Throckmorton,2013-2014,0
Throckmorton,2010-2011,0
Throckmorton,2019-2020,0
Throckmorton,2016-2017,0
Titus,2012-2013,0.31
Titus,2010-2011,0.18
Titus,2013-2014,0.67
Titus,2011-2012,0.35
Titus,2018-2019,0.75
Titus,2019-2020,0
Titus,2017-2018,0.4
Titus,2016-2017,0.2
Titus,2014-2015,0
Titus,2015-2016,0.59
Tom Green,2010-2011,0.4
Tom Green,2014-2015,0.7
Tom Green,2012-2013,0.5
Tom Green,2011-2012,0.41
Tom Green,2015-2016,0.99
Tom Green,2019-2020,1.56
Tom Green,2016-2017,1.39
Tom Green,2013-2014,0.41
Tom Green,2018-2019,1.71
Tom Green,2017-2018,1.26
Travis,2018-2019,3.53
Travis,2014-2015,3.18
Travis,2017-2018,3.61
Travis,2013-2014,3.21
Travis,2019-2020,3.13
Travis,2010-2011,1.99
Travis,2016-2017,3.16
Travis,2015-2016,3.12
Travis,2012-2013,2.87
Travis,2011-2012,2.35
Trinity,2011-2012,1.19
Trinity,2014-2015,0
Trinity,2019-2020,1.25
Trinity,2016-2017,1.13
Trinity,2017-2018,2.96
Trinity,2015-2016,0
Trinity,2010-2011,0
Trinity,2012-2013,0
Trinity,2013-2014,1.16
Trinity,2018-2019,1.55
Tyler,2011-2012,0.37
Tyler,2015-2016,1.47
Tyler,2010-2011,1.18
Tyler,2017-2018,3.18
Tyler,2016-2017,3.1
Tyler,2019-2020,2.42
Tyler,2013-2014,1.65
Tyler,2012-2013,1.52
Tyler,2014-2015,0.78
Tyler,2018-2019,2.1
Upshur,2012-2013,0.6
Upshur,2014-2015,1.62
Upshur,2011-2012,1.52
Upshur,2016-2017,2.57
Upshur,2013-2014,1.65
Upshur,2018-2019,3.74
Upshur,2017-2018,1.88
Upshur,2015-2016,2.85
Upshur,2010-2011,5.33
Upshur,2019-2020,2.97
Upton,2019-2020,0
Upton,2013-2014,0
Upton,2015-2016,0
Upton,2016-2017,1.85
Upton,2010-2011,0
Upton,2018-2019,4.68
Upton,2017-2018,0
Upton,2014-2015,1.29
Upton,2011-2012,0
Upton,2012-2013,0
Uvalde,2015-2016,0.98
Uvalde,2013-2014,0.2
Uvalde,2018-2019,0.51
Uvalde,2017-2018,1.06
Uvalde,2011-2012,0.9
Uvalde,2019-2020,1.3
Uvalde,2016-2017,1.14
Uvalde,2014-2015,0.9
Uvalde,2012-2013,0.22
Uvalde,2010-2011,0
Val Verde,2010-2011,0.23
Val Verde,2013-2014,0.1
Val Verde,2016-2017,0
Val Verde,2018-2019,0.39
Val Verde,2014-2015,0.11
Val Verde,2017-2018,0.43
Val Verde,2012-2013,0.38
Val Verde,2015-2016,0.13
Val Verde,2019-2020,0.42
Val Verde,2011-2012,0.36
Van Zandt,2014-2015,2.54
Van Zandt,2017-2018,2.33
Van Zandt,2013-2014,1.74
Van Zandt,2019-2020,5.71
Van Zandt,2010-2011,1.9
Van Zandt,2015-2016,2.52
Van Zandt,2016-2017,3.16
Van Zandt,2018-2019,2.77
Van Zandt,2012-2013,1.09
Van Zandt,2011-2012,1.3
Victoria,2012-2013,0.33
Victoria,2019-2020,1.71
Victoria,2010-2011,0.6
Victoria,2013-2014,0.34
Victoria,2011-2012,0.29
Victoria,2017-2018,0.82
Victoria,2014-2015,3.16
Victoria,2018-2019,0.68
Victoria,2016-2017,0.65
Victoria,2015-2016,0.45
Walker,2014-2015,2.35
Walker,2012-2013,0.85
Walker,2010-2011,0.7
Walker,2016-2017,1.28
Walker,2011-2012,0.17
Walker,2015-2016,0.86
Walker,2013-2014,1.74
Walker,2018-2019,2.48
Walker,2019-2020,2.59
Walker,2017-2018,1.5
Waller,2015-2016,1.02
Waller,2016-2017,0.82
Waller,2018-2019,1.55
Waller,2014-2015,0.75
Waller,2017-2018,1.34
Waller,2012-2013,0.73
Waller,2019-2020,1.34
Waller,2010-2011,0
Waller,2011-2012,0
Waller,2013-2014,0.61
Ward,2011-2012,0
Ward,2010-2011,0.55
Ward,2012-2013,0.98
Ward,2013-2014,0.49
Ward,2014-2015,0
Ward,2015-2016,0
Ward,2016-2017,1.71
Ward,2018-2019,0.91
Ward,2017-2018,1.7
Ward,2019-2020,1.92
Washington,2011-2012,0
Washington,2019-2020,2.09
Washington,2018-2019,3.06
Washington,2017-2018,1
Washington,2015-2016,0.83
Washington,2013-2014,1.61
Washington,2014-2015,1.02
Washington,2010-2011,0
Washington,2016-2017,1.32
Washington,2012-2013,0
Webb,2016-2017,0.28
Webb,2019-2020,0.39
Webb,2012-2013,0.07
Webb,2015-2016,0.25
Webb,2011-2012,0.16
Webb,2014-2015,0.07
Webb,2013-2014,0.15
Webb,2017-2018,0.15
Webb,2018-2019,0.19
Webb,2010-2011,0.09
Wharton,2013-2014,0
Wharton,2011-2012,0.33
Wharton,2010-2011,0.14
Wharton,2017-2018,0.73
Wharton,2015-2016,0.26
Wharton,2019-2020,0.17
Wharton,2018-2019,1.04
Wharton,2012-2013,0.15
Wharton,2014-2015,0.49
Wharton,2016-2017,0.34
Wheeler,2019-2020,8.33
Wheeler,2014-2015,3.38
Wheeler,2017-2018,3.48
Wheeler,2012-2013,1.12
Wheeler,2011-2012,2.27
Wheeler,2015-2016,3.22
Wheeler,2010-2011,2.12
Wheeler,2013-2014,1.09
Wheeler,2018-2019,1.28
Wheeler,2016-2017,3.7
Wichita,2010-2011,0.53
Wichita,2017-2018,1.54
Wichita,2019-2020,1.46
Wichita,2018-2019,1.23
Wichita,2011-2012,0.56
Wichita,2016-2017,0.86
Wichita,2013-2014,1.28
Wichita,2014-2015,0.99
Wichita,2015-2016,1.07
Wichita,2012-2013,0.63
Wilbarger,2011-2012,0
Wilbarger,2018-2019,1.3
Wilbarger,2016-2017,0.68
Wilbarger,2019-2020,1.38
Wilbarger,2012-2013,0.56
Wilbarger,2014-2015,0.56
Wilbarger,2017-2018,0
Wilbarger,2015-2016,0.66
Wilbarger,2013-2014,0
Wilbarger,2010-2011,0
Willacy,2019-2020,0.43
Willacy,2018-2019,0
Willacy,2015-2016,0
Willacy,2013-2014,0.89
Willacy,2010-2011,0
Willacy,2014-2015,0
Willacy,2017-2018,0
Willacy,2012-2013,0.28
Willacy,2016-2017,0
Willacy,2011-2012,0
Williamson,2013-2014,3.97
Williamson,2010-2011,2.45
Williamson,2018-2019,4.75
Williamson,2014-2015,3.74
Williamson,2015-2016,3.89
Williamson,2017-2018,3.89
Williamson,2012-2013,3.33
Williamson,2011-2012,2.89
Williamson,2016-2017,3.9
Williamson,2019-2020,4.32
Wilson,2011-2012,0.52
Wilson,2012-2013,0.15
Wilson,2014-2015,1.15
Wilson,2017-2018,1.22
Wilson,2010-2011,0.52
Wilson,2013-2014,0.52
Wilson,2016-2017,1.25
Wilson,2018-2019,3.22
Wilson,2015-2016,1.53
Wilson,2019-2020,1.78
Winkler,2017-2018,0.7
Winkler,2011-2012,0
Winkler,2012-2013,0
Winkler,2014-2015,0
Winkler,2016-2017,2.17
Winkler,2019-2020,1.5
Winkler,2013-2014,0.6
Winkler,2015-2016,0
Winkler,2010-2011,0
Winkler,2018-2019,1.31
Wise,2011-2012,0.75
Wise,2017-2018,2.87
Wise,2012-2013,1.18
Wise,2013-2014,1.62
Wise,2015-2016,1.52
Wise,2018-2019,3.75
Wise,2014-2015,1.89
Wise,2016-2017,2.64
Wise,2010-2011,0.77
Wise,2019-2020,4.93
Wood,2010-2011,1.29
Wood,2015-2016,1.87
Wood,2019-2020,2.92
Wood,2013-2014,0.87
Wood,2014-2015,1.28
Wood,2011-2012,1.73
Wood,2012-2013,0.63
Wood,2017-2018,1.8
Wood,2016-2017,0.95
Wood,2018-2019,2.88
Yoakum,2019-2020,2.81
Yoakum,2013-2014,0.52
Yoakum,2018-2019,1.18
Yoakum,2011-2012,0.65
Yoakum,2016-2017,2.12
Yoakum,2015-2016,0.63
Yoakum,2012-2013,0
Yoakum,2010-2011,0.58
Yoakum,2014-2015,1.2
Yoakum,2017-2018,0
Young,2010-2011,0.4
Young,2019-2020,2.33
Young,2018-2019,1.98
Young,2016-2017,1.88
Young,2015-2016,1.33
Young,2013-2014,1.87
Young,2014-2015,2.79
Young,2012-2013,0
Young,2017-2018,2.45
Young,2011-2012,0
Zapata,2013-2014,0
Zapata,2019-2020,0.75
Zapata,2010-2011,0
Zapata,2017-2018,0
Zapata,2018-2019,0
Zapata,2016-2017,0
Zapata,2011-2012,0
Zapata,2014-2015,0
Zapata,2012-2013,1.36
Zapata,2015-2016,0
Zavala,2015-2016,0
Zavala,2012-2013,0
Zavala,2011-2012,0.5
Zavala,2019-2020,0.58
Zavala,2016-2017,0.63
Zavala,2018-2019,0
Zavala,2014-2015,0
Zavala,2010-2011,0.51
Zavala,2013-2014,0
Zavala,2017-2018,0
