CAMPUS,CPETBILC,CPETBILP,CPETG9XC,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVHSC,CPETVHSP,CPETVOCC,CPETVOCP,CPNTBILC,CPNTBILP,CPNTG9XC,CPNTGIFC,CPNTGIFP,CPNTSPEC,CPNTSPEP,CPNTVHSC,CPNTVHSP
"202903041",4,1.4,0,17,5.9,40,13.9,0,0,14,4.9,4,1.4,0,17,5.9,40,13.9,0,.
"202903101",9,2.5,0,8,2.2,39,10.8,0,0,0,0,9,2.5,0,8,2.2,39,10.8,0,.
"202905002",1,0.3,159,35,11.6,43,14.2,146,91.8,248,81.8,1,0.3,160,35,11.5,44,14.5,146,91.3
"202905102",1,0.3,0,4,1.4,31,10.7,0,0,0,0,1,0.3,0,4,1.4,33,11.3,0,.
"203901002",29,8,195,18,5,54,15,137,70.3,214,59.3,29,8,195,18,5,54,15,137,70.3
"203901102",46,12.1,0,9,2.4,61,16.1,0,0,0,0,46,12.1,0,9,2.4,63,16.5,0,.
"203902001",9,4.4,107,23,11.3,36,17.7,103,96.3,136,67,9,4.4,107,23,11.3,36,17.7,103,96.3
"203902101",9,5,0,16,8.9,31,17.3,0,0,0,0,9,5,0,16,8.8,33,18.2,0,.
"204901001",6,1.4,421,16,3.8,48,11.4,294,69.8,403,95.7,6,1.4,421,16,3.8,48,11.4,294,69.8
"204901041",3,0.8,0,33,8.6,49,12.8,0,0,158,41.1,3,0.8,0,33,8.6,49,12.8,0,.
"204901102",6,1.4,0,9,2.1,57,13.1,0,0,0,0,6,1.4,0,9,2.1,59,13.5,0,.
"204901103",6,1.9,0,28,8.7,42,13,0,0,0,0,6,1.9,0,28,8.7,42,13,0,.
"204904001",62,11.9,523,24,4.6,56,10.7,509,97.3,517,98.9,62,11.9,523,24,4.6,56,10.7,509,97.3
"204904041",90,19,0,32,6.8,43,9.1,0,0,74,15.6,90,19,0,32,6.8,43,9.1,0,.
"204904101",95,17.4,0,21,3.8,40,7.3,0,0,0,0,95,17,0,21,3.8,46,8.2,0,.
"204904102",97,21.5,0,46,10.2,61,13.5,0,0,0,0,97,21.5,0,46,10.2,62,13.7,0,.
"205901001",21,4.5,469,19,4.1,37,7.9,81,17.3,369,78.7,21,4.5,469,19,4.1,37,7.9,81,17.3
"205901002",0,0,1,0,0,1,100,0,0,0,0,0,0,1,0,0,1,100,0,0
"205901041",23,6.6,0,13,3.7,36,10.3,0,0,87,24.9,23,6.6,0,13,3.7,36,10.3,0,.
"205901101",69,15.6,0,24,5.4,32,7.3,0,0,0,0,69,15.4,0,24,5.4,39,8.7,0,.
"205901104",32,9.1,0,23,6.5,34,9.7,0,0,0,0,32,9.1,0,23,6.5,34,9.7,0,.
