CAMPUS,CAMPNAME,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLRTF,DISTNAME,DISTRICT
"003904102","HUNTINGTON INT"," ","N","N","N","N","N","N","N","N","HUNTINGTON ISD","003904"
"003905001","DIBOLL H S"," ","N","N","N","N","N","N","N","N","DIBOLL ISD","003905"
"003905004","STUBBLEFIELD LRN CTR","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","DIBOLL ISD","003905"
"003905041","DIBOLL J H"," ","N","N","N","N","N","N","N","N","DIBOLL ISD","003905"
"003905101","H G TEMPLE EL"," ","N","N","N","N","N","N","N","N","DIBOLL ISD","003905"
"003905102","DIBOLL PRI"," ","N","N","N","N","Y","N","N","N","DIBOLL ISD","003905"
"003905103","H G TEMPLE INT"," ","N","N","N","N","N","N","N","N","DIBOLL ISD","003905"
"003906001","ZAVALLA H S"," ","N","N","N","N","N","N","N","N","ZAVALLA ISD","003906"
"003906101","ZAVALLA EL"," ","N","N","N","N","N","N","N","N","ZAVALLA ISD","003906"
"003907001","CENTRAL H S"," ","N","N","N","N","N","N","N","N","CENTRAL ISD","003907"
"003907004","STUBBLEFIELD LRN CTR"," ","N","N","N","N","N","N","N","N","CENTRAL ISD","003907"
"003907041","CENTRAL J H"," ","N","N","N","N","N","N","N","N","CENTRAL ISD","003907"
"003907102","CENTRAL EL"," ","N","N","N","N","N","N","N","N","CENTRAL ISD","003907"
"004901001","ROCKPORT-FULTON H S"," ","N","N","N","N","N","N","N","N","ARANSAS COUNTY ISD","004901"
"004901041","ROCKPORT-FULTON MIDDLE"," ","N","N","N","N","N","N","N","N","ARANSAS COUNTY ISD","004901"
"004901101","FULTON LEARNING CENTER"," ","N","N","N","N","N","N","N","N","ARANSAS COUNTY ISD","004901"
"004901102","DISCOVERY LEARNING CENTER"," ","N","N","N","N","Y","N","N","N","ARANSAS COUNTY ISD","004901"
"004901103","LIVE OAK LEARNING CENTER"," ","N","N","N","N","N","N","N","N","ARANSAS COUNTY ISD","004901"
"005901001","ARCHER CITY H S"," ","N","N","N","N","N","N","N","N","ARCHER CITY ISD","005901"
"005901101","ARCHER CITY EL"," ","N","N","N","N","N","N","N","N","ARCHER CITY ISD","005901"
"005902001","HOLLIDAY H S"," ","N","N","N","N","N","N","N","N","HOLLIDAY ISD","005902"
"005902041","HOLLIDAY MIDDLE"," ","N","N","N","N","N","N","N","N","HOLLIDAY ISD","005902"
"005902101","HOLLIDAY EL"," ","N","N","N","N","N","N","N","N","HOLLIDAY ISD","005902"
"005904001","WINDTHORST H S"," ","N","N","N","N","N","N","N","N","WINDTHORST ISD","005904"
"005904041","WINDTHORST JH"," ","N","N","N","N","N","N","N","N","WINDTHORST ISD","005904"
"005904101","WINDTHORST EL"," ","N","N","N","N","N","N","N","N","WINDTHORST ISD","005904"
"006902001","CLAUDE H S"," ","N","N","N","N","N","N","N","N","CLAUDE ISD","006902"
"006902101","CLAUDE EL"," ","N","N","N","N","N","N","N","N","CLAUDE ISD","006902"
"007901001","CHARLOTTE H S"," ","N","N","N","N","N","N","N","N","CHARLOTTE ISD","007901"
"007901003","DISTRICT REASSIGNMENT & OPPORTUNIT"," ","N","N","N","Y","N","N","Y","N","CHARLOTTE ISD","007901"
"007901041","CHARLOTTE MIDDLE"," ","N","N","N","N","N","N","N","N","CHARLOTTE ISD","007901"
"007901101","CHARLOTTE EL"," ","N","N","N","N","N","N","N","N","CHARLOTTE ISD","007901"
"007902001","JOURDANTON H S"," ","N","N","N","N","N","N","N","N","JOURDANTON ISD","007902"
"007902005","ATASCOSA COUNTY JUVENILE JUSTICE C","RESIDENTIAL FACILITY","N","Y","N","N","N","N","N","Y","JOURDANTON ISD","007902"
"007902006","JOURDANTON DAEP"," ","N","N","N","Y","N","N","N","N","JOURDANTON ISD","007902"
"007902041","JOURDANTON J H"," ","N","N","N","N","N","N","N","N","JOURDANTON ISD","007902"
"007902101","JOURDANTON EL"," ","N","N","N","N","N","N","N","N","JOURDANTON ISD","007902"
"007904001","LYTLE H S"," ","N","N","N","N","N","N","N","N","LYTLE ISD","007904"
"007904002","LYTLE DAEP"," ","N","N","N","Y","N","N","N","N","LYTLE ISD","007904"
"007904003","JJAEP"," ","N","N","N","N","N","Y","Y","N","LYTLE ISD","007904"
"007904041","LYTLE J H"," ","N","N","N","N","N","N","N","N","LYTLE ISD","007904"
"007904101","LYTLE EL"," ","N","N","N","N","N","N","N","N","LYTLE ISD","007904"
"007904103","LYTLE PRIMARY SCHOOL"," ","N","N","N","N","N","N","N","N","LYTLE ISD","007904"
"007905001","PLEASANTON H S"," ","N","N","N","N","N","N","N","N","PLEASANTON ISD","007905"
"007905004","ATASCOSA CO ALTER"," ","N","N","N","N","N","Y","Y","N","PLEASANTON ISD","007905"
"007905005","PLEASANTON ISD SCHOOL OF CHOICE","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","PLEASANTON ISD","007905"
"007905041","PLEASANTON J H"," ","N","N","N","N","N","N","N","N","PLEASANTON ISD","007905"
"007905103","PLEASANTON EL"," ","N","N","N","N","N","N","N","N","PLEASANTON ISD","007905"
"007905105","PLEASANTON PRI"," ","N","N","N","N","N","N","N","N","PLEASANTON ISD","007905"
"007906001","POTEET H S"," ","N","N","N","N","N","N","N","N","POTEET ISD","007906"
"007906003","ATASCOSA CO JUVENILE UNIT"," ","N","N","N","N","N","Y","N","N","POTEET ISD","007906"
"007906041","POTEET J H"," ","N","N","N","N","N","N","N","N","POTEET ISD","007906"
"007906101","POTEET EL"," ","N","N","N","N","N","N","N","N","POTEET ISD","007906"
"007906102","POTEET INT"," ","N","N","N","N","N","N","N","N","POTEET ISD","007906"
"008901001","BELLVILLE H S"," ","N","N","N","N","N","N","N","N","BELLVILLE ISD","008901"
"008901041","BELLVILLE J H"," ","N","N","N","N","N","N","N","N","BELLVILLE ISD","008901"
"008901101","O'BRYANT PRI"," ","N","N","N","N","N","N","N","N","BELLVILLE ISD","008901"
"008901102","O'BRYANT INT"," ","N","N","N","N","N","N","N","N","BELLVILLE ISD","008901"
"008901105","WEST END EL"," ","N","N","N","N","N","N","N","N","BELLVILLE ISD","008901"
"008902001","SEALY H S"," ","N","N","N","N","N","N","N","N","SEALY ISD","008902"
"008902041","SEALY J H"," ","N","N","N","N","N","N","N","N","SEALY ISD","008902"
"008902102","SELMAN EL"," ","N","N","N","N","N","N","N","N","SEALY ISD","008902"
"008902104","SEALY EL"," ","N","N","N","N","N","N","Y","N","SEALY ISD","008902"
"008903001","BRAZOS H S"," ","N","N","N","N","N","N","N","N","BRAZOS ISD","008903"
"008903041","BRAZOS MIDDLE"," ","N","N","N","N","N","N","N","N","BRAZOS ISD","008903"
"008903102","BRAZOS EL"," ","N","N","N","N","N","N","N","N","BRAZOS ISD","008903"
"008903103","PRAIRIE HARBOR ALTERNATIVE SCHOOL"," ","N","N","N","N","N","N","N","Y","BRAZOS ISD","008903"
"009901001","MULESHOE H S"," ","N","N","N","N","N","N","N","N","MULESHOE ISD","009901"
"009901002","P E P","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","MULESHOE ISD","009901"
"009901041","WATSON J H"," ","N","N","N","N","N","N","N","N","MULESHOE ISD","009901"
"009901101","MARY DESHAZO EL"," ","N","N","N","N","N","N","N","N","MULESHOE ISD","009901"
"009901103","DILLMAN EL"," ","N","N","N","N","N","N","N","N","MULESHOE ISD","009901"
"010901001","MEDINA SCHOOL"," ","N","N","N","N","N","N","N","N","MEDINA ISD","010901"
"010902001","BANDERA H S"," ","N","N","N","N","N","N","N","N","BANDERA ISD","010902"
"010902041","BANDERA MIDDLE"," ","N","N","N","N","N","N","N","N","BANDERA ISD","010902"
"010902101","ALKEK EL"," ","N","N","N","N","N","N","N","N","BANDERA ISD","010902"
"010902102","HILL COUNTRY EL"," ","N","N","N","N","N","N","N","N","BANDERA ISD","010902"
"011901001","BASTROP H S"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901002","CEDAR CREEK H S"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901005","COLORADO RIVER COLLEGIATE ACADEMY"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901022","GENESIS H S","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","BASTROP ISD","011901"
"011901041","BASTROP MIDDLE"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901101","EMILE EL"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901102","MINA EL"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901103","CEDAR CREEK EL"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901104","BASTROP INT"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901106","CEDAR CREEK MIDDLE"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901107","RED ROCK EL"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901108","CEDAR CREEK INT"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901109","BLUEBONNET EL"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011901110","LOST PINES EL"," ","N","N","N","N","N","N","N","N","BASTROP ISD","011901"
"011902001","ELGIN H S"," ","N","N","N","N","N","N","N","N","ELGIN ISD","011902"
"011902003","BASTROP COUNTY JUVENILE BOOT CAMP"," ","N","N","N","N","N","Y","N","N","ELGIN ISD","011902"
"011902004","PHOENIX H S","AEC OF CHOICE - DRS","Y","Y","N","N","N","N","N","N","ELGIN ISD","011902"
"011902041","ELGIN MIDDLE"," ","N","N","N","N","N","N","N","N","ELGIN ISD","011902"
"011902101","BOOKER T WASHINGTON EL"," ","N","N","N","N","N","N","N","N","ELGIN ISD","011902"
"011902102","ELGIN EL"," ","N","N","N","N","N","N","N","N","ELGIN ISD","011902"
"011902103","NEIDIG EL"," ","N","N","N","N","N","N","N","N","ELGIN ISD","011902"
"011904002","SMITHVILLE H S"," ","N","N","N","N","N","N","N","N","SMITHVILLE ISD","011904"
"011904041","SMITHVILLE J H"," ","N","N","N","N","N","N","N","N","SMITHVILLE ISD","011904"
"011904101","SMITHVILLE EL"," ","N","N","N","N","N","N","N","N","SMITHVILLE ISD","011904"
"011904102","BROWN PRI"," ","N","N","N","N","N","N","N","N","SMITHVILLE ISD","011904"
"011905001","MCDADE H S"," ","N","N","N","N","N","N","N","N","MCDADE ISD","011905"
"011905101","MCDADE EL"," ","N","N","N","N","N","N","N","N","MCDADE ISD","011905"
"012901001","SEYMOUR H S"," ","N","N","N","N","N","N","N","N","SEYMOUR ISD","012901"
"012901042","SEYMOUR MIDDLE"," ","N","N","N","N","N","N","N","N","SEYMOUR ISD","012901"
"012901101","SEYMOUR EL"," ","N","N","N","N","N","N","N","N","SEYMOUR ISD","012901"
"013801101","ST MARY'S ACADEMY CHARTER SCHOOL"," ","N","N","Y","N","N","N","N","N","ST MARY'S ACADEMY CHARTER SCHOOL","013801"
"013901001","A C JONES H S"," ","N","N","N","N","N","N","N","N","BEEVILLE ISD","013901"
"013901004","A C JONES HEALTH PROFESSIONS MAGNE"," ","N","N","N","N","N","N","Y","N","BEEVILLE ISD","013901"
"013901041","MORENO J H"," ","N","N","N","N","N","N","N","N","BEEVILLE ISD","013901"
"013901042","THE JOE BARNHART ACADEMY"," ","N","N","N","N","N","N","N","N","BEEVILLE ISD","013901"
"013901101","R A HALL EL"," ","N","N","N","N","N","N","N","N","BEEVILLE ISD","013901"
"013901102","FADDEN-MCKEOWN-CHAMBLISS EL"," ","N","N","N","N","N","N","N","N","BEEVILLE ISD","013901"
"013901105","HAMPTON-MORENO-DUGAT EARLY CHILDHO"," ","N","N","N","N","Y","N","N","N","BEEVILLE ISD","013901"
"013902101","PAWNEE EL / J H"," ","N","N","N","N","N","N","N","N","PAWNEE ISD","013902"
"013903001","PETTUS SECONDARY"," ","N","N","N","N","N","N","N","N","PETTUS ISD","013903"
"013903101","PETTUS EL"," ","N","N","N","N","N","N","N","N","PETTUS ISD","013903"
"013905001","SKIDMORE-TYNAN H S"," ","N","N","N","N","N","N","N","N","SKIDMORE-TYNAN ISD","013905"
"013905041","SKIDMORE-TYNAN J H"," ","N","N","N","N","N","N","N","N","SKIDMORE-TYNAN ISD","013905"
"013905101","SKIDMORE-TYNAN EL"," ","N","N","N","N","N","N","N","N","SKIDMORE-TYNAN ISD","013905"
"014801001","RICHARD MILBURN ALTER H S (KILLEEN","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801002","RICHARD MILBURN ACADEMY ODESSA","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801004","RICHARD MILBURN ACADEMY LUBBOCK","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801005","RICHARD MILBURN ACADEMY HOUSTON (S","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801006","RICHARD MILBURN ACADEMY FORT WORTH","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801007","RICHARD MILBURN ACADEMY CORPUS CHR","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801008","RICHARD MILBURN ACADEMY AMARILLO","AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801009","RICHARD MILBURN ACADEMY PASADENA","AEC OF CHOICE - DRS","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014801010","RICHARD MILBURN ACADEMY MIDLAND SO","AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","RICHARD MILBURN ALTER HIGH SCHOOL","014801"
"014803002","GEORGETOWN CHARTER ACADEMY"," ","N","N","Y","N","N","N","N","N","PRIORITY CHARTER SCHOOLS","014803"
"014803003","COVE CHARTER ACADEMY"," ","N","N","Y","N","N","N","N","N","PRIORITY CHARTER SCHOOLS","014803"
"014803004","CEDAR PARK CHARTER ACADEMY"," ","N","N","Y","N","N","N","N","N","PRIORITY CHARTER SCHOOLS","014803"
"014803101","TEMPLE CHARTER ACADEMY"," ","N","N","Y","N","N","N","N","N","PRIORITY CHARTER SCHOOLS","014803"
"014804002","NEW HORIZONS","RESIDENTIAL FACILITY","N","Y","Y","N","N","N","N","Y","ORENDA CHARTER SCHOOL","014804"
"014804005","GATEWAY TECH H S","AEC OF CHOICE","Y","Y","Y","N","N","N","N","N","ORENDA CHARTER SCHOOL","014804"
"014804006","GATEWAY COLLEGE PREPARATORY SCHOOL"," ","N","N","Y","N","N","N","N","N","ORENDA CHARTER SCHOOL","014804"
