CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"101919047",379,31.2,67,5.5,115,9.5,585,48.2
"101919048",312,23.8,86,6.6,125,9.5,406,31
"101919050",180,21.7,187,22.5,26,3.1,481,57.9
"101919102",145,18.3,12,1.5,50,6.3,2,0.3
"101919103",277,37.2,25,3.4,75,10.1,0,0
"101919104",44,8.6,31,6.1,50,9.8,0,0
"101919105",301,39.6,26,3.4,59,7.8,0,0
"101919106",244,33.1,19,2.6,73,9.9,2,0.3
"101919107",145,23.2,17,2.7,74,11.8,2,0.3
"101919108",164,22.3,43,5.9,69,9.4,0,0
"101919109",150,23.8,31,4.9,50,7.9,0,0
"101919110",321,52,23,3.7,46,7.5,0,0
"101919111",115,19.3,32,5.4,68,11.4,2,0.3
"101919112",313,45.6,39,5.7,59,8.6,0,0
"101919114",238,37.1,25,3.9,46,7.2,0,0
"101919115",217,31.5,26,3.8,78,11.3,2,0.3
"101919116",207,28,24,3.3,50,6.8,0,0
"101919117",115,17.3,15,2.3,54,8.1,0,0
"101919119",144,20.4,45,6.4,62,8.8,0,0
"101919120",361,46.7,26,3.4,75,9.7,0,0
"101919121",248,34.6,29,4.1,65,9.1,1,0.1
"101919122",213,28.9,50,6.8,45,6.1,1,0.1
"101919123",463,69.1,19,2.8,39,5.8,0,0
"101919124",427,53.3,39,4.9,66,8.2,0,0
"101919125",159,22.1,7,1,57,7.9,2,0.3
"101919126",228,34.1,15,2.2,60,9,1,0.1
"101919127",283,40.7,11,1.6,59,8.5,1,0.1
"101919128",186,24.4,19,2.5,69,9,0,0
"101919129",170,33.1,2,0.4,40,7.8,0,0
"101920001",121,4.6,432,16.5,120,4.6,1398,53.4
"101920003",631,29.3,101,4.7,228,10.6,1194,55.5
"101920005",897,34.8,80,3.1,236,9.2,975,37.8
"101920006",159,7.4,284,13.3,104,4.9,1357,63.5
"101920010",1,50,0,0,0,0,0,0
"101920014",191,18.8,200,19.7,38,3.7,337,33.2
"101920016",21,13.5,19,12.2,8,5.1,42,26.9
"101920018",7,6.3,111,100,2,1.8,10,9
"101920041",519,49.9,47,4.5,95,9.1,187,18
"101920042",75,5.6,435,32.6,66,4.9,0,0
"101920043",216,20,193,17.8,78,7.2,246,22.7
"101920044",428,48.9,19,2.2,108,12.3,139,15.9
"101920045",198,21.6,104,11.4,73,8,296,32.3
"101920046",330,46,20,2.8,100,13.9,281,39.2
"101920047",452,51.1,21,2.4,80,9,0,0
"101920048",16,4.2,109,28.9,6,1.6,50,13.3
"101920101",0,0,0,0,42,100,0,0
"101920102",128,20.7,101,16.3,38,6.1,0,0
"101920103",383,61.2,18,2.9,65,10.4,0,0
"101920104",128,18,135,19,44,6.2,0,0
"101920105",658,88.6,10,1.3,69,9.3,0,0
"101920106",291,55.5,9,1.7,57,10.9,0,0
"101920107",92,14.1,78,11.9,49,7.5,0,0
"101920108",74,15.1,41,8.4,47,9.6,0,0
"101920109",32,7.5,80,18.8,26,6.1,0,0
"101920110",575,75,16,2.1,57,7.4,0,0
"101920111",597,75.4,12,1.5,82,10.4,0,0
"101920112",73,9.9,118,16,55,7.5,0,0
"101920113",440,68,8,1.2,65,10,0,0
