CAMPUS,CAMPNAME,CFLALTED,CFLCHART,DISTNAME,DISTRICT,GRDSPAN,GRDTYPE
"003906004","STUBBLEFIELD LRN CTR","Y","N","ZAVALLA ISD","003906","11 - 11","S"
"003906101","ZAVALLA EL","N","N","ZAVALLA ISD","003906","PK - 05","E"
"003907001","CENTRAL H S","N","N","CENTRAL ISD","003907","09 - 12","S"
"003907004","STUBBLEFIELD LRN CTR","Y","N","CENTRAL ISD","003907","12 - 12","S"
"003907041","CENTRAL J H","N","N","CENTRAL ISD","003907","05 - 08","M"
"003907102","CENTRAL EL","N","N","CENTRAL ISD","003907","EE - 04","E"
"004901001","ROCKPORT-FULTON H S","N","N","ARANSAS COUNTY ISD","004901","09 - 12","S"
"004901041","ROCKPORT-FULTON MIDDLE","N","N","ARANSAS COUNTY ISD","004901","06 - 08","M"
"004901101","FULTON LEARNING CENTER","N","N","ARANSAS COUNTY ISD","004901","03 - 05","E"
"004901103","LIVE OAK LEARNING CENTER","N","N","ARANSAS COUNTY ISD","004901","EE - 02","E"
"005901001","ARCHER CITY H S","N","N","ARCHER CITY ISD","005901","07 - 12","S"
"005901101","ARCHER CITY EL","N","N","ARCHER CITY ISD","005901","EE - 06","E"
"005902001","HOLLIDAY H S","N","N","HOLLIDAY ISD","005902","09 - 12","S"
"005902041","HOLLIDAY MIDDLE","N","N","HOLLIDAY ISD","005902","06 - 08","M"
"005902101","HOLLIDAY EL","N","N","HOLLIDAY ISD","005902","EE - 05","E"
"005904001","WINDTHORST H S","N","N","WINDTHORST ISD","005904","09 - 12","S"
"005904041","WINDTHORST JH","N","N","WINDTHORST ISD","005904","06 - 08","M"
"005904101","WINDTHORST EL","N","N","WINDTHORST ISD","005904","PK - 05","E"
"006902001","CLAUDE SCHOOLS","N","N","CLAUDE ISD","006902","PK - 12","B"
"007901001","CHARLOTTE H S","N","N","CHARLOTTE ISD","007901","09 - 12","S"
"007901041","CHARLOTTE MIDDLE","N","N","CHARLOTTE ISD","007901","06 - 08","M"
