DISTRICT,DPETBILC,DPETBILP,DPETGIFC,DPETGIFP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP
"031905",488,14.3,173,5.1,325,9.5,1001,29.4
"031906",1977,18.4,764,7.1,1034,9.6,3534,32.8
"031909",828,34.2,137,5.7,211,8.7,710,29.3
"031911",185,9.5,91,4.7,172,8.8,718,36.9
"031912",2063,19.7,307,2.9,902,8.6,2925,28
"031913",243,35.5,154,22.5,45,6.6,317,46.3
"031914",157,14.2,33,3,117,10.6,450,40.8
"031916",107,2.5,685,16.1,104,2.4,3653,86.1
"032902",419,17.9,88,3.8,214,9.2,708,30.3
"033901",2,1.3,8,5.1,22,13.9,47,29.7
"033902",6,0.8,43,5.9,86,11.9,229,31.6
"033904",4,1.1,19,5.2,33,9,102,27.9
"034901",39,2.3,154,9.1,189,11.2,466,27.7
"034902",4,3.2,4,3.2,12,9.5,41,32.5
"034903",41,3.2,39,3.1,108,8.5,375,29.5
"034905",25,3.6,61,8.8,73,10.5,238,34.2
"034906",0,0,26,6.9,40,10.6,124,32.8
"034907",0,0,87,8.4,110,10.6,286,27.6
"034909",5,1.8,2,0.7,23,8.3,100,36.1
"035901",222,18,54,4.4,89,7.2,316,25.7
"035902",26,11.2,9,3.9,14,6,60,25.9
"035903",2,0.8,4,1.6,16,6.4,94,37.6
"036901",90,6.7,95,7.1,119,8.9,374,28
"036902",148,2.8,346,6.4,371,6.9,1272,23.6
"036903",334,22,87,5.7,138,9.1,415,27.4
"037901",119,17.8,32,4.8,82,12.2,190,28.4
"037904",1417,28.4,251,5,436,8.7,1332,26.7
"037907",121,5.7,111,5.3,240,11.4,650,30.8
"037908",188,34.6,5,0.9,32,5.9,140,25.7
"037909",10,3.5,14,4.9,40,14,93,32.5
"038901",39,3.5,70,6.3,118,10.6,290,26.1
"039902",6,0.6,59,6.2,100,10.5,358,37.5
"039903",4,0.8,17,3.3,52,10.1,169,32.8
"039904",0,0,2,1.6,8,6.4,41,32.8
"039905",0,0,2,1.5,22,16.1,55,40.1
"040901",73,18.8,25,6.4,37,9.5,104,26.7
"040902",20,6.2,7,2.2,36,11.1,108,33.3
"041901",4,1.6,19,7.7,24,9.7,104,41.9
"041902",4,1.4,5,1.8,34,12,81,28.6
"042901",21,2.4,32,3.6,91,10.3,227,25.7
"042903",0,0,23,8.8,18,6.9,100,38.2
"042905",2,1.1,1,0.6,19,10.9,79,45.4
"043801",99,7.4,0,0,66,4.9,0,0
"043802",17,15.3,0,0,7,6.3,0,0
"043901",1328,6.3,2900,13.8,2175,10.3,6221,29.5
"043902",400,11.6,155,4.5,375,10.9,1144,33.2
"043903",158,6.1,160,6.2,217,8.4,718,27.9
"043904",183,11.2,82,5,184,11.3,557,34.2
"043905",3272,5.6,7188,12.3,5348,9.2,11599,19.9
"043907",2743,11.1,2144,8.6,2695,10.9,6419,25.9
"043908",93,3.3,217,7.8,273,9.8,749,26.9
"043910",7582,14.1,10289,19.1,5918,11,11331,21.1
"043911",536,12.3,188,4.3,467,10.7,1046,23.9
"043912",430,3.6,1235,10.2,890,7.4,3507,29
"043914",1666,10.6,1752,11.1,1588,10.1,3587,22.8
"043917",73,8.8,53,6.4,89,10.8,219,26.5
"043918",420,18.6,184,8.2,207,9.2,610,27
"043919",48,1.1,856,20.4,321,7.6,1389,33.1
"044902",53,9,18,3.1,51,8.7,135,23
"045902",196,12.8,45,2.9,194,12.7,424,27.7
"045903",119,8.8,53,3.9,136,10,341,25.1
"045905",127,19.1,30,4.5,66,9.9,200,30
"046802",131,26,0,0,151,30,39,7.8
"046901",724,8.1,670,7.5,728,8.2,2078,23.3
"046902",1645,7.1,2702,11.7,2413,10.5,6421,27.9
"047901",183,13.8,66,5,138,10.4,343,25.9
"047902",39,5.4,35,4.8,66,9.1,237,32.7
"047903",48,34,0,0,20,14.2,62,44
"047905",0,0,13,10.2,20,15.6,50,39.1
"048901",10,4.5,5,2.3,29,13.1,68,30.6
"048903",8,3.1,11,4.3,30,11.7,108,42.2
"049901",680,22.2,149,4.9,243,7.9,870,28.4
"049902",4,0.8,18,3.6,63,12.8,198,40.1
"049903",89,11,43,5.3,95,11.8,270,33.4
"049905",23,2,58,5,102,8.8,322,27.9
"049906",7,1.5,27,5.7,41,8.6,146,30.7
"049907",1,0.2,29,5.9,26,5.3,201,40.6
"049908",0,0,0,0,1,1.3,0,0
"049909",0,0,0,0,9,13,0,0
"050901",17,7,6,2.5,26,10.7,89,36.6
"050902",106,3.8,227,8.1,313,11.2,974,35
"050904",11,6.2,2,1.1,15,8.4,80,44.9
"050909",2,0.6,4,1.2,35,10.9,103,32.1
"050910",347,4.3,523,6.4,836,10.3,2414,29.6
"051901",4,1.9,13,6.2,34,16.1,88,41.7
"052901",215,18.6,70,6.1,88,7.6,357,30.9
"053001",105,13.9,52,6.9,63,8.3,188,24.9
"054901",3,0.8,22,6,38,10.4,105,28.8
"054902",25,9.7,9,3.5,38,14.7,111,42.9
"054903",7,1.3,13,2.5,64,12.2,123,23.4
"055901",26,6.7,21,5.4,22,5.6,131,33.6
"056901",260,14.8,31,1.8,144,8.2,456,25.9
"056902",32,18,8,4.5,15,8.4,58,32.6
"057802",168,25.7,0,0,61,9.3,0,0
"057803",5596,32.4,0,0,1208,7,4331,25
"057804",959,16.5,0,0,429,7.4,891,15.3
"057805",115,36.7,0,0,36,11.5,0,0
"057806",375,22.5,49,2.9,74,4.4,299,17.9
"057807",500,8.8,237,4.2,489,8.6,1426,25.2
"057808",591,27.4,188,8.7,46,2.1,80,3.7
"057809",61,33.5,0,0,2,1.1,0,0
"057810",67,15.5,0,0,41,9.5,0,0
"057813",1894,60.1,0,0,238,7.6,0,0
"057814",107,20.5,0,0,126,24.2,52,10
"057816",24,1.1,0,0,90,4.2,0,0
"057819",111,56.6,0,0,16,8.2,16,8.2
"057827",168,30.9,0,0,30,5.5,190,35
"057828",118,9.1,0,0,130,10,1226,94.7
"057829",639,47.4,37,2.7,110,8.2,384,28.5
"057830",526,39.8,5,0.4,106,8,425,32.1
"057831",0,0,10,1.3,39,5.2,225,29.9
"057833",34,6.3,20,3.7,46,8.5,0,0
"057834",51,6.3,0,0,89,11,617,76.3
"057835",857,59.5,0,0,75,5.2,61,4.2
"057836",0,0,22,6.6,21,6.3,0,0
"057837",535,22.9,0,0,145,6.2,0,0
"057839",659,60.6,2,0.2,95,8.7,0,0
"057840",0,0,0,0,2,0.3,421,72.5
"057841",338,45.7,0,0,41,5.5,0,0
"057844",250,28.5,0,0,67,7.6,18,2.1
"057845",27,3.4,0,0,34,4.3,102,12.9
"057846",476,34.2,66,4.7,105,7.5,392,28.1
"057847",16,1.7,0,0,43,4.7,221,24
"057848",4257,26.4,819,5.1,774,4.8,1801,11.2
"057849",22,6.9,11,3.5,24,7.5,0,0
"057850",58,20.1,54,18.7,19,6.6,31,10.7
"057903",7692,30.5,1906,7.6,2802,11.1,5549,22
"057904",574,7.3,389,4.9,674,8.6,2156,27.4
"057905",65770,42,21826,13.9,12795,8.2,36631,23.4
"057906",626,6.5,733,7.6,910,9.4,2919,30.2
"057907",2208,17.2,690,5.4,1073,8.3,5564,43.3
"057909",15676,27.8,4317,7.6,4697,8.3,16006,28.3
"057910",9093,31.1,1828,6.2,2412,8.2,8383,28.6
"057911",54,0.8,906,13,624,9,1020,14.6
"057912",14010,41.3,4277,12.6,2610,7.7,10093,29.8
"057913",550,7.5,619,8.4,593,8.1,2498,33.9
"057914",9773,23.9,2055,5,4085,10,11776,28.8
"057916",9985,25.5,3878,9.9,4247,10.8,10265,26.2
"057919",74,4.1,185,10.2,156,8.6,512,28.3
"057922",1705,13.6,2075,16.5,749,6,2851,22.7
"058902",8,6.2,10,7.8,12,9.3,49,38
"058905",12,4.9,27,11,9,3.7,76,30.9
"058906",98,5.1,122,6.4,175,9.1,629,32.8
"058909",25,10.2,18,7.4,21,8.6,77,31.6
"059901",685,16.4,121,2.9,340,8.1,1273,30.5
"059902",10,8,4,3.2,17,13.6,0,0
"060902",19,2.3,89,10.8,78,9.5,273,33.3
"060914",4,2.3,5,2.9,28,16.1,59,33.9
"061802",127,25,0,0,60,11.8,0,0
"061804",58,5.3,95,8.6,73,6.6,217,19.7
"061805",16,3.1,69,13.2,42,8,0,0
"061901",4175,14.3,3131,10.7,3124,10.7,8690,29.8
"061902",9372,17.9,5836,11.1,5765,11,9733,18.6
"061903",333,23.8,92,6.6,122,8.7,423,30.2
"061905",261,12.3,105,5,245,11.6,727,34.4
"061906",132,9.4,118,8.4,106,7.5,409,29
"061907",92,3.7,158,6.3,216,8.7,724,29.1
"061908",210,7.7,124,4.6,297,10.9,782,28.8
"061910",70,2.6,272,10.1,243,9,498,18.5
"061911",1201,5.2,2263,9.8,2112,9.2,4750,20.6
"061912",356,9,322,8.1,465,11.8,1155,29.2
"061914",1585,21.1,425,5.7,562,7.5,2103,28
"062901",78,3.8,89,4.4,226,11.1,819,40.1
"062902",0,0,6,3.8,13,8.3,50,31.8
"062903",262,16.3,53,3.3,241,15,397,24.7
"062904",6,1.1,26,4.9,61,11.4,213,40
"062905",3,3.8,6,7.7,4,5.1,0,0
"062906",0,0,8,6.7,6,5,8,6.7
"063903",3,1.2,23,8.9,30,11.6,92,35.5
"063906",0,0,13,13.5,13,13.5,39,40.6
"064903",96,4.4,153,6.9,153,6.9,703,31.9
"065901",0,0,40,8.5,43,9.1,139,29.6
"065902",2,1.9,1,1,8,7.8,57,55.3
"066005",21,63.6,0,0,4,12.1,0,0
"066901",13,3.8,19,5.6,40,11.8,114,33.6
"066902",21,1.4,102,7,122,8.4,319,21.9
"066903",36,4.5,53,6.6,121,15,214,26.5
"067902",11,1.3,34,4,92,10.8,238,27.8
"067903",64,5.4,63,5.3,122,10.3,361,30.5
"067904",16,5.2,12,3.9,44,14.4,93,30.5
"067907",6,1.8,23,6.8,49,14.5,95,28
"067908",8,5.2,2,1.3,8,5.2,58,37.7
"068802",3,0.3,14,1.4,66,6.4,0,0
"068803",13,2,65,9.9,31,4.7,253,38.7
