DISTRICT,DPETBILC,DPETBILP,DPETGIFC,DPETGIFP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP
"219903",75,6.8,52,4.7,118,10.8,323,29.5
"219905",20,8,9,3.6,22,8.8,78,31.1
"220801",4,1,0,0,23,6,39,10.2
"220802",62,4,0,0,51,3.3,15,1
"220809",6,1.1,73,12.8,19,3.3,0,0
"220810",5,0.6,0,0,26,3,255,29.9
"220811",117,31,16,4.2,14,3.7,0,0
"220814",32,9.3,19,5.5,17,4.9,0,0
"220815",33,6.5,58,11.4,41,8,0,0
"220817",302,11.1,133,4.9,133,4.9,648,23.9
"220819",26,2.8,88,9.3,101,10.7,75,7.9
"220901",16212,26.6,5285,8.7,4785,7.8,17055,27.9
"220902",4752,20.1,2180,9.2,2192,9.3,6746,28.6
"220904",1708,29.3,253,4.3,462,7.9,1336,22.9
"220905",26041,30.3,9303,10.8,7133,8.3,20875,24.3
"220906",1611,11.6,2975,21.4,1120,8,4109,29.5
"220907",2744,7.9,3478,10,3339,9.6,9676,27.8
"220908",3567,10.2,2385,6.8,3072,8.8,8674,24.8
"220910",632,18.9,177,5.3,306,9.1,1294,38.7
"220912",2378,15.6,1086,7.1,1439,9.5,4876,32.1
"220914",239,7.7,226,7.2,278,8.9,975,31.3
"220915",284,4.4,408,6.3,599,9.2,1789,27.6
"220916",3423,14.7,1552,6.6,2088,8.9,5374,23
"220917",1386,35.5,230,5.9,348,8.9,902,23.1
"220918",1777,9.2,1342,7,1690,8.8,4646,24.1
"220919",220,2.6,1965,23.6,577,6.9,1769,21.2
"220920",1031,15.1,476,7,655,9.6,2001,29.2
"221801",1378,10.5,0,0,1018,7.8,344,2.6
"221901",921,5.5,1131,6.7,1909,11.4,4766,28.4
"221904",22,1.9,89,7.6,156,13.4,419,35.9
"221905",0,0,17,10.3,16,9.7,48,29.1
"221911",1,0.1,97,8,124,10.2,491,40.4
"221912",59,1.3,164,3.7,287,6.5,1036,23.5
"222901",4,2.8,0,0,16,11.1,42,29.2
"223901",138,7.9,82,4.7,136,7.8,460,26.3
"223902",18,6.4,14,5,25,8.9,93,33
"223904",29,9.3,24,7.7,20,6.4,79,25.2
"224901",0,0,7,5.1,6,4.4,48,35.3
"224902",1,0.6,4,2.5,17,10.5,66,40.7
"225902",2308,43.6,357,6.7,556,10.5,1389,26.3
"225905",86,51.2,7,4.2,23,13.7,0,0
"225906",166,16,86,8.3,101,9.8,354,34.2
"225907",188,31.1,20,3.3,30,5,0,0
"226801",109,4,0,0,188,6.9,193,7.1
"226901",1,0.2,28,5.4,40,7.6,228,43.6
"226903",680,4.7,506,3.5,1514,10.4,2774,19
"226905",5,1.4,13,3.6,54,14.9,110,30.3
"226906",16,1.4,87,7.7,59,5.2,448,39.6
"226907",55,4.9,54,4.8,152,13.4,271,23.9
"226908",17,6.3,10,3.7,28,10.4,102,37.9
"227803",679,32.1,0,0,113,5.3,152,7.2
"227804",196,19.7,11,1.1,83,8.3,143,14.4
"227805",0,0,0,0,23,7.7,0,0
"227806",76,11.3,0,0,218,32.3,136,20.2
"227814",18,4.7,0,0,10,2.6,85,22.3
"227816",1377,34.9,342,8.7,273,6.9,620,15.7
"227817",205,40.9,16,3.2,44,8.8,54,10.8
"227819",75,25.4,10,3.4,20,6.8,0,0
"227820",2352,45.5,0,0,474,9.2,0,0
"227821",10,1.9,0,0,47,9,0,0
"227824",139,22,0,0,48,7.6,93,14.7
"227825",459,56.7,0,0,104,12.9,100,12.4
"227826",108,22.7,0,0,29,6.1,0,0
"227827",53,27,0,0,0,0,43,21.9
"227828",143,40.9,0,0,21,6,82,23.4
"227901",23758,29.2,7668,9.4,8859,10.9,21702,26.7
"227904",5633,22.3,1861,7.4,2682,10.6,6614,26.2
"227907",3479,38.4,748,8.3,791,8.7,3146,34.7
"227909",167,2.1,914,11.3,677,8.4,1414,17.6
"227910",4091,36.6,519,4.6,1339,12,3414,30.6
"227912",77,5.2,122,8.3,112,7.6,430,29.2
"227913",618,6,1079,10.4,776,7.5,2334,22.5
"228901",14,1.8,64,8.3,91,11.8,208,27.1
"228903",95,7.7,52,4.2,117,9.5,444,35.9
"228904",0,0,12,10,11,9.2,35,29.2
"228905",0,0,19,9.6,28,14.2,55,27.9
"229901",0,0,2,0.4,50,10.5,150,31.6
"229903",46,3.4,72,5.4,189,14.1,403,30.1
"229904",13,1,70,5.4,110,8.5,354,27.2
"229905",4,1,8,2,47,12,102,26
"229906",0,0,6,2.9,27,13.1,54,26.2
"230901",16,2.2,46,6.4,77,10.8,250,35
"230902",187,7.7,117,4.8,204,8.4,647,26.6
"230903",48,5.1,51,5.4,97,10.3,263,28
"230904",7,1.9,16,4.3,18,4.8,129,34.3
"230905",53,4.9,82,7.6,64,6,383,35.7
"230906",19,1.7,63,5.7,55,5,299,27.2
"230908",8,1.1,73,9.9,36,4.9,241,32.6
"231901",24,4.3,32,5.8,44,7.9,110,19.8
"231902",21,6.8,9,2.9,22,7.1,76,24.6
"232901",19,4.2,67,14.7,23,5.1,148,32.5
"232902",35,7.5,45,9.6,49,10.5,167,35.8
"232903",426,9.6,449,10.1,449,10.1,1223,27.4
"232904",9,3.8,9,3.8,26,10.9,109,45.8
"233901",1770,16.8,1001,9.5,963,9.1,3405,32.2
"233903",8,3.8,14,6.6,19,9,75,35.4
"234801",0,0,1,1,16,15.7,24,23.5
"234902",73,3.4,132,6.1,176,8.1,572,26.3
"234903",22,2.2,98,9.9,119,12.1,270,27.4
"234904",127,11.5,54,4.9,113,10.2,332,30.1
"234905",49,9.2,38,7.2,53,10,163,30.7
"234906",157,6.5,156,6.4,250,10.3,822,34
"234907",187,7.7,150,6.2,257,10.6,642,26.6
"234909",14,3.1,53,11.8,43,9.6,113,25.1
"235901",153,17.7,36,4.2,107,12.4,284,32.8
"235902",838,5.9,493,3.5,1477,10.4,3045,21.4
"235904",4,3.4,16,13.8,8,6.9,0,0
"236801",0,0,0,0,31,29.8,104,100
"236802",2,1.4,0,0,2,1.4,0,0
"236901",46,4.3,69,6.5,85,8,354,33.2
"236902",848,10.3,327,4,594,7.2,2697,32.7
"237902",410,25.7,126,7.9,127,8,521,32.7
"237904",1983,27.8,387,5.4,467,6.6,1781,25
"237905",943,39.1,68,2.8,206,8.5,843,35
"238902",198,8.5,98,4.2,200,8.6,539,23.3
"238904",0,0,0,0,12,7.4,73,45.1
"239901",600,12,298,5.9,615,12.3,1412,28.2
"239903",21,4.6,18,4,47,10.3,136,29.9
"240801",113,35.8,0,0,33,10.4,89,28.2
"240901",13566,56.5,1880,7.8,1954,8.1,6536,27.2
"240903",17628,40.8,5555,12.9,3658,8.5,15358,35.5
"240904",15,5.6,1,0.4,28,10.4,82,30.4
"241901",70,6.3,65,5.8,70,6.3,341,30.6
"241902",43,4.5,54,5.7,68,7.2,314,33.1
"241903",450,12.3,294,8,316,8.6,1234,33.7
"241904",225,10.8,124,6,181,8.7,488,23.5
"241906",70,13.5,31,6,27,5.2,145,28
"242902",16,3.8,6,1.4,47,11.1,116,27.4
"242903",90,19.4,1,0.2,42,9,154,33.1
"242905",7,8.3,0,0,8,9.5,22,26.2
"242906",1,0.7,1,0.7,15,11.1,38,28.1
"243901",43,1.3,176,5.4,344,10.6,842,26
"243902",4,1,23,5.6,51,12.3,103,24.9
"243903",11,0.6,118,6.4,203,11.1,461,25.2
"243905",1077,7.7,717,5.1,1651,11.7,3121,22.2
"243906",24,2.3,73,6.9,123,11.6,293,27.7
"244901",0,0,19,16.7,17,14.9,24,21.1
"244903",208,10.5,88,4.4,239,12,467,23.5
"244905",1,0.5,20,9.3,16,7.5,59,27.6
"245901",57,13.9,47,11.5,36,8.8,123,30
"245902",142,9.2,114,7.4,122,7.9,466,30
"245903",147,7.1,145,7,183,8.8,508,24.4
"245904",26,9.9,6,2.3,29,11.1,115,43.9
"246801",57,3.6,0,0,111,7,77,4.8
"246802",8,2.6,3,1,20,6.6,0,0
"246902",231,22.1,46,4.4,108,10.3,316,30.2
"246904",1741,15.1,773,6.7,1144,9.9,3342,29
"246905",49,11,18,4,37,8.3,153,34.2
"246906",841,11.7,326,4.5,884,12.2,1796,24.9
"246907",225,13.3,92,5.4,174,10.2,456,26.9
"246908",136,3.4,159,4,327,8.1,1098,27.4
"246909",5236,10.7,4496,9.2,4536,9.3,12914,26.4
"246911",435,13.6,188,5.9,324,10.2,807,25.3
"246912",16,2.3,53,7.6,66,9.5,176,25.3
"246913",2322,6,8263,21.2,4264,11,7107,18.3
"246914",9,5.5,17,10.3,9,5.5,8,4.8
"247901",243,6.1,279,7,363,9,1309,32.6
"247903",153,4.6,161,4.8,326,9.7,1219,36.3
"247904",46,5.5,71,8.6,92,11.1,241,29
"247906",37,4.5,91,11,117,14.1,227,27.3
"248901",229,16.2,32,2.3,122,8.6,338,23.9
"248902",15,3.5,24,5.5,29,6.7,172,39.7
"249901",31,4.4,65,9.2,74,10.5,226,31.9
"249902",42,3.2,57,4.3,98,7.4,436,32.9
"249903",633,30.7,93,4.5,189,9.2,481,23.3
"249904",52,8.6,43,7.1,57,9.4,157,26
"249905",502,15,265,7.9,376,11.3,829,24.8
"249906",32,2.7,124,10.4,119,10,378,31.8
"249908",29,12,11,4.5,16,6.6,70,28.9
"250902",11,1.6,61,8.9,78,11.4,254,37
"250903",168,10.4,61,3.8,144,8.9,437,27.1
"250904",50,4.5,62,5.6,117,10.5,315,28.2
"250905",42,10.7,29,7.4,30,7.6,164,41.6
"250906",13,1.5,52,5.9,94,10.6,280,31.7
"250907",100,6.6,54,3.6,140,9.2,377,24.8
"251901",279,16.6,66,3.9,98,5.8,589,35
"251902",56,12.5,46,10.3,34,7.6,148,33.1
"252901",275,11.5,45,1.9,240,10,793,33
"252902",4,1.7,9,3.9,20,8.7,87,37.7
"252903",28,4.1,30,4.4,91,13.5,231,34.2
"253901",971,27.7,249,7.1,359,10.2,1068,30.5
"254901",54,2.8,123,6.3,200,10.3,405,20.8
"254902",18,3.8,20,4.3,43,9.2,149,31.8
