CAMPUS,CPETBILC,CPETBILP,CPETGIFC,CPETGIFP,CPETSPEC,CPETSPEP,CPETVOCC,CPETVOCP
"014909041",48,7.9,32,5.3,83,13.6,105,17.2
"014909042",81,11.7,48,6.9,78,11.3,0,0
"014909044",55,9.5,51,8.9,78,13.5,70,12.2
"014909101",74,14.6,0,0,44,8.7,0,0
"014909102",10,3,15,4.5,44,13.2,0,0
"014909107",21,3.7,35,6.1,60,10.4,0,0
"014909110",17,3.5,31,6.4,49,10.2,0,0
"014909111",224,30.6,42,5.7,57,7.8,0,0
"014909114",10,2.5,24,6,37,9.2,0,0
"014909116",18,3.9,16,3.4,57,12.2,0,0
"014909117",3,0.6,72,14.4,52,10.4,0,0
"014909118",281,66,17,4,40,9.4,0,0
"014909198",1,50,0,0,0,0,1,50
"014910001",5,1.2,29,6.8,53,12.4,306,71.5
"014910041",9,2.5,52,14.7,42,11.9,39,11
"014910101",18,3.8,19,4,69,14.5,0,0
"014910103",16,5.9,0,0,30,11.1,0,0
"015801001",0,0,0,0,20,16.9,118,100
"015801002",0,0,0,0,6,8.8,66,97.1
"015801003",0,0,0,0,6,7.2,65,78.3
"015802001",262,21.7,0,0,66,5.5,130,10.8
"015802004",9,6,0,0,20,13.4,106,71.1
"015805001",11,5,0,0,3,1.4,7,3.2
"015805041",52,10.7,0,0,43,8.8,0,0
"015806003",3,2.3,0,0,12,9.3,129,100
"015806041",10,13.7,0,0,11,15.1,73,100
"015806101",103,34.2,0,0,12,4,0,0
"015806106",17,10.4,0,0,12,7.3,0,0
"015807001",5,5.8,1,1.2,4,4.7,0,0
"015807002",14,6.6,7,3.3,33,15.5,94,44.1
"015807004",28,13.4,16,7.7,21,10,151,72.2
"015807005",7,5,10,7.1,22,15.6,93,66
"015807101",20,23.3,3,3.5,5,5.8,0,0
"015807102",3,2.1,3,2.1,10,6.9,0,0
"015808001",6,4.3,0,0,64,46.4,0,0
"015808003",0,0,0,0,10,16.7,0,0
"015808006",1,1.7,0,0,10,17.2,0,0
"015808007",1,3,0,0,9,27.3,0,0
"015808009",0,0,0,0,38,10.1,39,10.4
"015808010",0,0,0,0,30,29.7,0,0
"015808011",0,0,0,0,6,17.6,0,0
"015808012",0,0,0,0,3,9.7,0,0
"015808014",0,0,0,0,13,35.1,0,0
"015809101",93,24.9,1,0.3,39,10.4,0,0
"015814001",8,6.4,0,0,8,6.4,15,12
"015815001",14,8.1,0,0,19,11,0,0
"015815041",131,49.4,0,0,11,4.2,252,95.1
"015815101",3,8.8,0,0,8,23.5,0,0
"015815104",4,10.8,0,0,4,10.8,0,0
"015822001",97,8.4,63,5.5,103,9,47,4.1
"015822002",95,10.5,38,4.2,64,7,0,0
"015822004",58,12.9,6,1.3,34,7.5,7,1.6
"015822005",7,2.3,12,4,21,7,0,0
"015822006",14,5.5,16,6.3,29,11.4,0,0
"015822007",231,62.8,30,8.2,10,2.7,0,0
"015822008",52,19.2,27,10,14,5.2,0,0
"015822009",90,11.2,89,11.1,44,5.5,31,3.9
"015822010",216,23.4,133,14.4,47,5.1,124,13.4
"015822011",118,54.1,13,6,6,2.8,0,0
"015825001",41,18.7,19,8.7,19,8.7,0,0
"015825101",24,28.9,2,2.4,3,3.6,0,0
"015826001",123,15,0,0,77,9.4,0,0
"015826041",140,27.9,0,0,53,10.6,0,0
"015826042",152,32.6,0,0,35,7.5,0,0
"015826043",112,32.5,0,0,29,8.4,0,0
"015826101",618,100,0,0,33,5.3,0,0
"015826102",501,100,0,0,43,8.6,0,0
"015827001",33,6.8,59,12.2,34,7,297,61.4
"015827002",39,9.1,50,11.6,36,8.4,0,0
"015827003",62,13.1,38,8,29,6.1,39,8.2
"015827004",50,25.6,2,1,8,4.1,0,0
"015828001",91,11.8,81,10.5,75,9.7,480,62.2
"015828002",63,12.4,50,9.8,36,7.1,0,0
"015828003",200,34,101,17.1,29,4.9,0,0
"015828004",290,45.3,49,7.7,33,5.2,0,0
"015828005",203,43.7,38,8.2,23,4.9,0,0
"015828006",94,17.2,33,6,25,4.6,0,0
"015828007",108,24.1,31,6.9,32,7.1,171,38.2
"015828008",72,20.2,36,10.1,25,7,356,99.7
"015830001",117,6.9,151,8.9,96,5.6,919,54.1
"015830101",43,4.6,17,1.8,52,5.6,0,0
"015830102",5,5.3,12,12.6,9,9.5,0,0
"015830103",30,17.1,15,8.6,8,4.6,0,0
"015831001",54,11.2,67,13.9,30,6.2,58,12
"015831002",45,5,63,7,84,9.3,185,20.6
"015831003",54,18.4,10,3.4,12,4.1,0,0
"015833001",1,0.7,0,0,11,8,116,84.7
"015834001",40,3.9,0,0,7,0.7,0,0
"015834002",43,6.4,0,0,15,2.2,0,0
"015834101",67,9,0,0,18,2.4,0,0
"015835001",7,1.6,0,0,29,6.5,0,0
"015835002",7,1.7,0,0,13,3.2,0,0
"015835003",32,2.9,0,0,60,5.4,0,0
"015835004",69,8.5,0,0,38,4.7,0,0
"015836001",14,4.4,0,0,15,4.7,0,0
"015837001",0,0,0,0,25,11.1,0,0
"015838001",10,11.1,0,0,10,11.1,0,0
"015901001",37,2.3,330,20.9,116,7.4,585,37.1
"015901002",0,0,0,0,3,100,0,0
"015901041",84,7.6,310,28.2,91,8.3,0,0
"015901101",96,11.7,169,20.6,65,7.9,0,0
"015901102",53,14.4,0,0,43,11.7,0,0
"015901104",111,12.1,136,14.8,60,6.6,0,0
"015904001",251,13.6,124,6.7,217,11.8,1565,85
"015904002",106,6.8,149,9.6,191,12.3,1354,87.2
"015904003",1,7.7,0,0,3,23.1,7,53.8
"015904004",19,11.6,0,0,21,12.8,70,42.7
"015904007",0,0,0,0,0,0,1,14.3
"015904008",0,0,0,0,0,0,1,100
"015904010",1,11.1,1,11.1,9,100,1,11.1
"015904011",8,2.2,78,21.7,3,0.8,359,100
"015904041",138,16.6,58,7,64,7.7,339,40.8
"015904042",232,28.2,52,6.3,82,10,382,46.5
"015904043",113,15.1,56,7.5,88,11.8,547,73.2
"015904044",94,14.4,49,7.5,89,13.7,454,69.7
"015904045",3,20,1,6.7,1,6.7,0,0
"015904046",0,0,0,0,0,0,0,0
"015904047",0,0,0,0,4,100,0,0
"015904048",3,7.3,0,0,2,4.9,17,41.5
"015904101",151,32.2,20,4.3,26,5.5,0,0
"015904102",157,24.2,26,4,58,9,0,0
"015904103",111,21.7,24,4.7,40,7.8,0,0
"015904104",206,47.4,34,7.8,38,8.7,0,0
"015904105",211,29,14,1.9,63,8.7,0,0
"015904106",217,30,27,3.7,44,6.1,0,0
"015904107",205,33.4,35,5.7,54,8.8,0,0
"015904108",113,15.3,50,6.8,47,6.4,0,0
"015904109",167,37.5,18,4,27,6.1,0,0
"015904110",109,24.7,15,3.4,36,8.2,0,0
"015904113",138,29.8,14,3,35,7.6,0,0
"015904114",115,22.2,24,4.6,45,8.7,0,0
"015904115",0,0,0,0,15,100,0,0
"015904116",118,21.1,26,4.7,34,6.1,0,0
"015905002",80,6.8,96,8.2,141,12,968,82.6
"015905003",175,13.5,160,12.4,152,11.7,1075,83
"015905041",95,14.3,34,5.1,79,11.9,188,28.2
"015905042",2,6.5,0,0,9,29,1,3.2
